Dar_IdDarwinCore,N Lote,Nombre Archivo Completo,Dar_ReinoOrganismo,Dar_DivisionOrganismo,Dar_ClaseOrganismo (Class),Dar_OrdenOrganismo,Dar_FamiliaOrganismo,Dar_GeneroOrganismo,Dar_NombreCientifico,Dar_EspecieOrganismo,Dar_AutorNombreCientifico ,Dar_IdentificadoPor,Fech. Compl. Ident,Dar_AnoIdentificacion (YearIdentified),Dar_MesIdentificacion (MonthIdentified),Dar_DiaIdentificacion (DayIdentified),Dar_CodigoInstitucion,Dar_CodigoColeccion,Dar_NumeroCatalogo,Dar_SexoOrganismo,longitud (cm) ,N,Dar_Colector,Fech.Completa,Dar_AnoColectado,Dar_MesColectado,Dar_DiaColectado,Dar_ContinenteOceano,Dar_Pais,Región,Provincia ,Distrito,Dar_Localidad,Dar_NombreComunOrganismo,Habitat,Uso,Latitud ,Longitud,Cuenca,Arte de Pesca,
372,CIIAP 372,CIIAP 372.jpg,Animalia,Chordata,Actinopterygii,Carangiformes ,Achiridae,Hypoclinemus,Hypoclinemus mentalis ,mentalis ,(Günther 1862),Morgan Ruiz Tafur ,16/11/2021,2021,11,16,IIAP,CIIAP,CIIAP 372,I,LE: 11.1,1,Homero Sánchez Riveiro,15/11/1993,1993,11,15,América del Sur,Perú,Loreto,Alto Amazonas,Lagunas,lago lagunas ,panga raya,Cocha,O, -5.209011°,-75.703959°,Río Huallaga ,Red alevinera ,
82,CIIAP 82,CIIAP 82.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Curimatidae,Psectrogaster,Psectrogaster rutiloides,rutiloides,(Kner 1858),Homero Sánchez Riveiro,15/11/2004,2004,11,15,IIAP,CIIAP,CIIAP 82,I,LE: 9.9,3,Homero Sánchez Riveiro,27/4/2002,2002,4,27,América del Sur,Perú,Ucayali,Coronel Portillo,Callería,Chanajao cerca al imiria ,ractacara,orilla,C, -8.510332°,-74.385992°,Río ucayali,"Red trampa de 2""",
103,CIIAP 103,CIIAP 103.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Prochilodontidae,Prochilodus,Prochilodus nigricans,nigricans,Spix & Agassiz 1829,Morgan Ruiz Tafur ,14/7/2021,2021,7,14,IIAP,CIIAP,CIIAP 103,I,LE: 12.02,1,Homero Sánchez Riveiro,28/4/2002,2002,4,28,América del Sur,Perú,Ucayali,Coronel Portillo,Callería,Chanajao,boquichico,Río Ucayali,C, -8.510332°,-74.385992°,Río Ucayali/canal del Puinahua ,"Red trampa de 2""",
136,CIIAP 136,CIIAP 136.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Erythrinidae,Hoplias ,Hoplias malabaricus,malabaricus,(Bloch 1794),Morgan Ruiz Tafur ,2/8/2021,2021,8,2,IIAP,CIIAP,CIIAP 136,I,LE: 17.6,1,Homero Sánchez Riveiro,28/4/2002,2002,4,28,América del Sur,Perú,Ucayali,Coronel Portillo,Callería,Chanarrao,fasaco,Río Ucayali,C, -8.510332°,-74.385992°,Río Ucayali,"Red trampa de 2""",
232,CIIAP 232,CIIAP 232.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Triportheidae,Triportheus,Triportheus angulatus,angulatus,(Spix & Agassiz 1829),Homero Sánchez Riveiro,26/10/2004,2004,10,26,IIAP,CIIAP,CIIAP 232,I,LE: 8.24,3,Homero Sánchez Riveiro,28/4/2002,2002,4,28,América del Sur,Perú,Ucayali,Coronel Portillo,Callería,chanajao,sardina ,,C, -8.510332°,-74.385992°,río ucayali,"Red trampa de 2""",
235,CIIAP 235,CIIAP 235.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Triportheidae,Triportheus,Triportheus angulatus,angulatus,(Spix & Agassiz 1829),Morgan Ruiz Tafur ,27/11/2004,2004,11,27,IIAP,CIIAP,CIIAP 235,I,LE: 13.89,5,Homero Sánchez Riveiro,28/4/2002,2002,4,28,América del Sur,Perú,Ucayali,Coronel Portillo,Callería,Chanajao,sardina ,Río Ucayali,C, -8.510332°,-74.385992°,Río Ucayali,"Red trampa de 2""",
268,CIIAP 268,CIIAP 268.jpg,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae ,Hypophthalmus,Hypophthalmus oremaculatus ,oremaculatus,Nani and Fuster 1947,Morgan Ruiz Tafur ,16/9/2021,2021,9,16,IIAP,CIIAP,CIIAP 268,I,LE: 14.7,1,Homero Sánchez Riveiro,28/4/2002,2002,4,28,América del Sur,Perú,Ucayali,Coronel Portillo,Callería,chanajao (alto ucayali ),maparate,,C, -8.510332°,-74.385992°,Río Ucayali (alto),"Red trampa de 2""",
21,CIIAP 21,CIIAP 21.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Hemiodontidae,Hemiodus,Hemiodus microlepis,microlepis,Kner 1858,Homero Sánchez Riveiro,22/11/2004,2004,11,22,IIAP,CIIAP,CIIAP 21,I,LE: 16.2,6,"Homero Sánchez & Leite, R.B",22/4/2002,2002,4,22,América del Sur,Perú,Ucayali,Coronel Portillo,Masisea,Alto Ucayali,yulilla,Lago Imiria,C, -8.866024°,-74.265377°,Río Ucayali,"Red trampa de 2.5""",
38,CIIAP 38,CIIAP 38.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Curimatidae,Cyphocharax,Cyphocharax spiluropsis,spiluropsis,(Eigenmann & Eigenmann 1889),Homero Sánchez Riveiro,24/4/2002,2002,4,24,IIAP,CIIAP,CIIAP 38,I,LE: 8.0 ,1,Homero Sánchez Riveiro,15/11/2004,2004,11,15,América del Sur,Perú,Ucayali,Coronel Portillo,Masisea,Alto Ucayali,chio chio,Lago Imiria,C, -8.866024°,-74.265377°,Río Ucayali,"Red trampa de 2""",
105,CIIAP 105,CIIAP 105.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Prochilodontidae,Prochilodus,Prochilodus nigricans,nigricans,Spix & Agassiz 1829,Morgan Ruiz Tafur ,14/7/2021,2021,7,14,IIAP,CIIAP,CIIAP 105,I,LE: 7.5,11,Homero Sánchez Riveiro,30/4/2002,2002,4,30,América del Sur,Perú,Ucayali,Coronel Portillo,Masisea,San Antonio,boquichico,Alto Ucayali,C, -8.559964°,-74.345615°,Río Ucayali,"Red trampa de 2""",
118,CIIAP 118,CIIAP 118.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Anostomidae ,Schizodon,Schizodon fasciatus,fasciatus,Spix & Agassiz 1829,Morgan Ruiz Tafur ,23/7/2021,2021,7,22,IIAP,CIIAP,CIIAP 118,I,LE: 21.6,1,Homero Sánchez Riveiro,24/4/2002,2002,4,24,América del Sur,Perú,Ucayali,Coronel Portillo,Masisea,Lago Imiria,lisa 4 bandas ,Río Ucayali,C, -8.879154°,-74.341517°,Río Ucayali,"Red trampa de 2""",
168,CIIAP 168,CIIAP 168.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Serrasalmidae,Pygocentrus ,Pygocentrus nattereri,nattereri,Kner 1858,Morgan Ruiz Tafur ,6/9/2021,2021,9,6,IIAP,CIIAP,CIIAP 168,I,LE: 16.53,2,Homero Sánchez Riveiro,29/4/2002,2002,4,29,América del Sur,Perú,Ucayali,Coronel Portillo,Masisea,San Antonio,paña roja ,Alto Ucayali ,"C,O", -8.559964°,-74.345615°,Río Ucayali,"Red trampa de 2""",
221,CIIAP 221,CIIAP 221.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Characidae,Roeboides ,Roeboides myersii,myersii,Fowler 1932,Homero Sánchez Riveiro,15/11/2004,2004,11,15,IIAP,CIIAP,CIIAP 221,I,LE: 12.19,1,"Homero Sánchez & Leite, R.B",29/4/2002,2002,4,29,América del Sur,Perú,Ucayali,Coronel Portillo,Masisea,San Antonio,denton ,orilla,"C,O", -8.559964°,-74.345615°,Río ucayali,Red alevinera ,
249,CIIAP 249,CIIAP 249.jpg,Animalia,Chordata,Actinopterygii,Siluriformes,Auchenipteridae,Centromochlus ,Centromochlus heckelii,heckelii,(De Filippi 1853),Homero Sánchez Riveiro,15/11/2004,2004,11,15,IIAP,CIIAP,CIIAP 249,I,LE: 8.7,4,Homero Sánchez Riveiro,22/4/2002,2002,4,22,América del Sur,Perú,Ucayali,Coronel Portillo,Masisea,San Antonio,aceitero,Alto Ucayali,O, -8.559964°,-74.345615°,Río Ucayali,"Red trampa de 2""",
252,CIIAP 252,CIIAP 252.jpg,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae ,Pimelodus ,Pimelodus blochii,blochii,Valenciennes 1840,Homero Sánchez Riveiro,12/11/2004,2004,11,12,IIAP,CIIAP,CIIAP 252,I,LE: 15.4,1,Homero Sánchez Riveiro,24/4/2002,2002,4,24,América del Sur,Perú,Ucayali,Coronel Portillo,Masisea,Lago Imiria,bagre,Río Ucayali,"C,O", -8.879154°,-74.341517°,Río Ucayali,"Red trampa de 2""",
264,CIIAP 264,CIIAP 264.jpg,Animalia ,Chordata,Actinopterygii,Siluriformes,Pimelodidae ,Zungaro,Zungaro zungaro ,zungaro,(Humboldt 1821),Homero Sánchez Riveiro,15/11/2004,2004,11,15,IIAP,CIIAP,CIIAP 264,I,LE: 16.2,1,Homero Sánchez Riveiro,29/4/2002,2002,4,29,América del Sur,Perú,Ucayali,Coronel Portillo,Masisea,san antonio alto ucayali ,cunchimama,,"C,O", -8.559964°,-74.345615°,Río Samiria ,"Red trampa de 2.5""",
267,CIIAP 267,CIIAP 267.jpg,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae ,Pimelodus ,Pimelodus blochii,blochii,Valenciennes 1840,Homero Sánchez Riveiro,22/11/2004,2004,11,22,IIAP,CIIAP,CIIAP 267,I,LE; 17.3,1,Homero Sánchez Riveiro,22/4/2002,2002,4,22,América del Sur,Perú,Ucayali,Coronel Portillo,Masisea,Lago imiria (alto ucayali,bagre,,"C,O", -8.866024°,-74.265377°,Río Ucayali (alto),"Red trampa de 2""",
348,CIIAP 348,CIIAP 348.jpg,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pterygoplichthys,Pterygoplichthys pardalis ,pardalis,(Castelnau 1855),Homero Sánchez Riveiro,15/11/2004,2004,11,15,IIAP,CIIAP,CIIAP 348,I,LE:  17.2,1,"Homero Sánchez & Leite, R.B",30/4/2002,2002,4,30,América del Sur,Perú,Ucayali,Coronel Portillo,Masisea,San Antonio - Alto Ucayali,shitari,,C, -8.559964°,-74.345615°,Río Ucayali,"Red trampa de 2""",
