clase,orden,clase_id
actinopterygii,batrachoidiformes,1.0
actinopterygii,beloniformes,1.0
actinopterygii,carangiformes,1.0
actinopterygii,characiformes,1.0
actinopterygii,cichliformes,1.0
actinopterygii,clupeiformes,1.0
actinopterygii,cyprinodontiformes,1.0
actinopterygii,gymnotiformes,1.0
sarcopterygii,lepidosireniformes,3.0
chondrichthyes,myliobatiformes,2.0
actinopterygii,osteoglossiformes,1.0
actinopterygii,salmoniformes,1.0
actinopterygii,siluriformes,1.0
actinopterygii,synbranchiformes,1.0
actinopterygii,tetraodontiformes,1.0
