nombre_cientifico,autor_nombre_cientifico
acanthodoras spinosissimus,eigenmann & eigenmann 1888
acarichthys heckelii,müller & troschel 1849
acaronia nassa,heckel 1840
acestrorhynchus falcatus,bloch 1794
acestrorhynchus falcirostris,cuvier 1819
acestrorhynchus heterolepis,cope 1878
acestrorhynchus lacustris,lütken 1875
acestrorhynchus microlepis,schomburgk 1841
acestrorhynchus sp.,None
aequidens diadema,heckel 1840
aequidens tetramerus,heckel 1840
ageneiosus inermis,linnaeus 1766
ageneiosus uranophthalmus,ribeiro y rapp py-daniel 2010
ageneiosus vittatus,steindachner 1908
amaralia hypsiura,kner 1855
amblydoras affinis,kner 1855
amblydoras hancockii,valenciennes 1840
ammocryptocharax elegans,weitzman & kanazawa 1976
anablepsoides sp.,None
anadoras grypus,cope 1872
anchoviella sp.,None
ancistrus sp.,None
ancistrus sp. 1,None
ancistrus sp. 2,None
ancistrus sp. 3,None
anodus elongatus,agassiz 1829
aphanotorulus emarginatus,valenciennes 1840
aphanotorulus horridus,kner 1854
aphyocharax pusillus,günther 1868
apionichthys cf. nattereri,steindachner 1876
apionichthys sp.,None
apistogramma eunotus,"kullander, 1981"
apistogramma sp.,None
apteronotus albifrons,linnaeus 1766
arapaima gigas,schinz 1822
astronotus ocellatus,agassiz 1831
astyanax abramis,jenyns 1842
astyanax multidens,pearson 1924
astyanax sp.,None
auchenipterichthys coracoideus,eigenmann & allen 1942
auchenipterus nuchalis,spix & agassiz 1829
auchenipterus sp. 1,None
auchenipterus sp. 2,None
batrochoglanis raninus,valenciennes 1840
biotodoma cupido,heckel 1840
boulengerella cuvieri,spix & agassiz 1829
boulengerella maculata,valenciennes 1850
brachychalcinus nummus,böhlke 1958
brachyhypopomus sp.,None
brachyplatystoma rousseauxii,castelnau 1855
brycon amazonicus,agassiz 1829
brycon melanopterus,cope 1872
bryconops caudomaculatus,günther 1864
bryconops inpai,"knöppel, junk & gery 1968"
bryconops melanurus,bloch 1794
bryconops sp.,None
bujurquina huallagae,kullander 1986
bujurquina moriorum,kullander 1986
bujurquina ortegai,kullander 1986
bujurquina pardus,"arbour, barriga salazar & lopez-fernandez 2014"
bujurquina peregrinabunda,kullander 1986
bujurquina robusta,kullander 1986
bujurquina syspilus,cope 1872
bunocephalus coracoideus,cope 1874
bunocephalus verrucosus,walbaum 1792
callichthys callichthys,linneo 1758
callophysus macropterus,lichtenstein 1819
carnegiella sp.,None
carnegiella strigata,günther 1864
centromochlus heckelii,de filippi 1853
cetopsis candiru,spix & agassiz 1829
cetopsis coecutiens,lichtenstein 1819
cetopsis sp.,None
chaetobranchus flavescens,heckel 1840
chaetobranchus semifasciatus,steindachner 1875
chaetostoma sp.,None
chalceus erythrurus,cope 1870
chalceus macrolepidotus,cuvier 1816
chalceus sp.,None
characidae sp.,None
characidium etheostoma,cope 1872
characidium pellucidum,eigenmann 1909
characidium pteroides,eigenmann 1909
characidium sp.,None
characidium steindachneri,cope 1878
charax caudimaculatus,lucena 1987
charax gibbosus,linnaeus 1758
charax sp.,None
charax tectifer,cope 1870
chilodus punctatus,müller & troschel 1844
chrysobrycon cf. hesperus,böhlke 1958
chrysobrycon eliasi,"vanegas, azpelicueta & ortega 2011"
chrysobrycon yoliae,"vanegas-rios, azpelicueta & ortega 2014"
cichla monoculus,spix & agassiz 1831
cichla monoculus,"spix & agassiz,1831"
cichlasoma amazonarum,kullander 1983
