familia,genero
doradidae,acanthodoras
cichlidae,acaricichthys
cichlidae,acaronia
acestrorhynchidae,acestrorhynchus
cichlidae,aequidens
auchenipteridae,ageneiosus
aspredinidae,amaralia
doradidae,amblydoras
crenuchidae,ammocryptocharax
rivulidae,anablepsoides
doradidae,anadoras
engraulididae,anchoviella
loricariidae,ancistrus
hemiodontidae,anodus
loricariidae,aphanotorulus
characidae,aphyocharax
achiridae,apionichthys
cichlidae,apistogramma
apteronotidae,apteronotus
arapaimidae,arapaima
cichlidae,astronotus
characidae,astyanax
auchenipteridae,auchenipterichthys
auchenipteridae,auchenipterus
pseudopimelodidae,batrochoglanis
cichlidae,biotodoma
ctenoluciidae,boulengerella
characidae,brachychalcinus
hypopomidae,brachyhypopomus
pimelodidae,brachyplatystoma
characidae,brycon
bryconidae,brycon
characidae,bryconops
iguanodectidae,bryconops
cichlidae,bujurquina
aspredinidae,bunocephalus
callichthyidae,callichthys
pimelodidae,callophysus
gasteropelecidae,carnegiella
auchenipteridae,centromochlus
cetopsidae,cetopsis
cichlidae,chaetobranchus
loricariidae,chaetostoma
chalceidae,chalceus
characidae,chalceus
crenuchidae,characidium
characidae,charax
chilodontidae,chilodus
anostomidae,chilodus
characidae,chrysobrycon
cichlidae,cichla
cichlidae,cichlasoma
characidae,colossoma
lebiasinidae,copeina
lebiasinidae,copella
callichthyidae,corydoras
characidae,creagrutus
characidae,creagrutus sp.
cichlidae,crenicara
cichlidae,crenicichla
characidae,ctenobrycon
curimatidae,curimata
curimatidae,curimatella
curimatidae,curimatopsis
cynodontidae,cynodon
characidae,cynopotamus
curimatidae,cyphocharax
cetopsidae,denticetopsis
callichthyidae,dianema
auchenipteridae,duringlanis
sternopygidae,eigenmannia
crenuchidae,elachocharax
gymnotidae,electrophorus
erythrinidae,erythrinus
loricariidae,farlowella
gasteropelecidae,gasteropelecus
heptapteridae,goeldiella
gymnotidae,gymnotus
characidae,hemigrammus
loricariidae,hemiodontichthys
hemiodontidae,hemiodus
pimelodidae,hemisorubim
trichomycteridae,henonemus
cichlidae,heroina
cichlidae,heros
erythrinidae,hoplerythrinus
erythrinidae,hoplias
callichthyidae,hoplosternum
cynodontidae,hydrolycus
characidae,hyphessobrycon
achiridae,hypoclinemus
pimelodidae,hypophthalmus
loricariidae,hypoptopoma
loricariidae,hypostomus
cichlidae,hypselecara
iguanodectidae,iguanodectes
heptapteridae,imparfinis
characidae,jupiaba
characidae,knodus
anostomidae,laemolyta
cichlidae,laetacara
loricariidae,lasiancistrus
pimelodidae,leiarius
lepidosirenidae,lepidosiren
anostomidae,leporinus
cichlidae,leporinus
doradidae,leptodoras
loricariidae,loricaria
loricariidae,loricariichthys
cichlidae,lugubria
engraulididae,lycengraulis
callichthyidae,megalechis
anostomidae,megaleporinus
crenuchidae,melanocharacidium
cichlidae,mesonauta
serrasalmidae,metynnis
characidae,microschemobrycon
characidae,moenkhausia
polycentridae,monocirrhus
serrasalmidae,myloplus
characidae,mylossoma
serrasalmidae,mylossoma
lebiasinidae,nannostomus
trichomycteridae,ochmacanthus
salmonidae,oncorhynchus
osteoglossidae,osteoglossum
loricariidae,oxyropsis
loricariidae,panaqolus
loricariidae,panaque
characidae,paragoniates
potamotrygonidae,paratrygon
parodontidae,parodon
loricariidae,peckoltia
loricariidae,peckoltichthys
pristigasteridae,pellona
characidae,phenacogaster
heptapteridae,phenacorhamdia
characidae,piaractus
heptapteridae,pimelodella
auchenipteridae,pimelodella
pimelodidae,pimelodus
pimelodidae,pinirampus
loricariidae,planiloricaria
doradidae,platydoras
pimelodidae,platysilurus
apteronotidae,platyurosternarchus
curimatidae,potamorhina
belonidae,potamorrhaphis
potamotrygonidae,potamotrygon
characidae,prionobrama
pristigasteridae,pristigaster
prochilodontidae,prochilodus
curimatidae,psectrogaster
anostomidae,pseudanos
aspredinidae,pseudobunocephalus
loricariidae,pseudohemiodon
pseudopimelodidae,pseudopimelodus
pimelodidae,pseudoplatystoma
loricariidae,pseudorinelepis
belonidae,pseudotylosurus
cichlidae,pterophyllum
loricariidae,pterygoplichthys
serrasalmidae,pygocentrus
lebiasinidae,pyrrhulina
rhamphichthyidae,rhamphichthys
heptapteridae,rhandia
cynodontidae,rhaphiodon
loricariidae,rineloricaria
loricariidae,rineloricaria sp.
characidae,roeboides
bryconidae,salminus
cichlidae,satanoperca
cichlidae,saxatilia
anostomidae,schizodon
prochilodontidae,semaprochilodus
characidae,serrapinnus
characidae,serrasalmus
serrasalmidae,serrasalmus
serrasalmidae,serrrasalmus
pimelodidae,sorubim
pimelodidae,sorubin
loricariidae,spatuloricaria
tetraodontidae,sphoeroides
rhamphichthyidae,steatogenys
curimatidae,steindachnerina
sternopygidae,sternopygus
characidae,stethaprion
characidae,stichonodon
synbranchidae,synbranchus
cichlidae,tahuantinsuyoa
auchenipteridae,tatia
doradidae,tenellus
characidae,tetragonopterus
batrachoididae,thalassophryne
characidae,thayeria
gasteropelecidae,thoracocharax
auchenipteridae,trachelyopterus
doradidae,trachydoras
triportheidae,triportheus
characidae,tyttocharax
pimelodidae,zungaro
