familia,genero
Potamotrygonidae,Potamotrygon
Potamotrygonidae,Potamotrygon
Potamotrygonidae,Potamotrygon
Potamotrygonidae,Potamotrygon
Potamotrygonidae,Paratrygon
Potamotrygonidae,Potamotrygon
Potamotrygonidae,Potamotrygon
Potamotrygonidae,Potamotrygon
Lepidosirenidae,Lepidosiren
Osteoglossidae,Osteoglossum
Osteoglossidae,Osteoglossum
Arapaimidae,Arapaima
Arapaimidae,Arapaima
Engraulididae,Anchoviella
Engraulididae,Lycengraulis
Pristigasteridae,Pellona
Pristigasteridae,Pellona
Pristigasteridae,Pellona
Pristigasteridae,Pristigaster
Pristigasteridae,Pristigaster
Hemiodontidae,Hemiodus
Hemiodontidae,Hemiodus
Hemiodontidae,Hemiodus
Hemiodontidae,Anodus
Hemiodontidae,Anodus
Hemiodontidae,Hemiodus
Parodontidae,Parodon
Curimatidae,Curimata
Curimatidae,Steindachnerina
Curimatidae,Curimata
Curimatidae,Curimatella
Curimatidae,Curimatella
Curimatidae,Curimatella
Curimatidae,Curimata
Curimatidae,Potamorhina 
Curimatidae,Potamorhina 
Curimatidae,Cyphocharax
Curimatidae,Cyphocharax
Curimatidae,Steindachnerina
Curimatidae,Curimata
Curimatidae,Cyphocharax
Curimatidae,Potamorhina 
Curimatidae,Psectrogaster
Curimatidae,Potamorhina 
Curimatidae,curimata
Curimatidae,Psectrogaster
Curimatidae,Psectrogaster
Curimatidae,Psectrogaster
Curimatidae,Psectrogaster
Curimatidae,Cyphocharax
Curimatidae,Curimata
Curimatidae,Curimatella
Curimatidae,Psectrogaster
Curimatidae,Psectrogaster
Curimatidae,Curimatella
Curimatidae,Curimatella
Curimatidae,Potamorhina 
Curimatidae,Curimatella
Curimatidae,Curimatella
Curimatidae,curimata
Curimatidae,Curimatopsis
Curimatidae,Cyphocharax
Curimatidae,Curimata
Curimatidae,Psectrogaster
Curimatidae,Cyphocharax
Curimatidae,Curimata
Curimatidae,Curimatella
Curimatidae,Curimatella
Curimatidae,Curimatella
Curimatidae,Steindachnerina
Curimatidae,Psectrogaster
Curimatidae,Curimata
Curimatidae,Psectrogaster
Curimatidae,Psectrogaster
Curimatidae,Psectrogaster
Curimatidae,Steindachnerina
Curimatidae,Psectrogaster
Curimatidae,Curimatella
Curimatidae,Potamorhina 
