familia,genero,familia_id
doradidae,acanthodoras,21.0
cichlidae,acaricichthys,16.0
cichlidae,acaronia,16.0
acestrorhynchidae,acestrorhynchus,1.0
cichlidae,aequidens,16.0
auchenipteridae,ageneiosus,7.0
aspredinidae,amaralia,6.0
doradidae,amblydoras,21.0
crenuchidae,ammocryptocharax,17.0
rivulidae,anablepsoides,42.0
doradidae,anadoras,21.0
engraulididae,anchoviella,22.0
loricariidae,ancistrus,32.0
hemiodontidae,anodus,26.0
loricariidae,aphanotorulus,32.0
characidae,aphyocharax,14.0
achiridae,apionichthys,2.0
cichlidae,apistogramma,16.0
apteronotidae,apteronotus,4.0
arapaimidae,arapaima,5.0
cichlidae,astronotus,16.0
characidae,astyanax,14.0
auchenipteridae,auchenipterichthys,7.0
auchenipteridae,auchenipterus,7.0
pseudopimelodidae,batrochoglanis,40.0
cichlidae,biotodoma,16.0
ctenoluciidae,boulengerella,18.0
characidae,brachychalcinus,14.0
hypopomidae,brachyhypopomus,28.0
pimelodidae,brachyplatystoma,35.0
characidae,brycon,14.0
bryconidae,brycon,10.0
characidae,bryconops,14.0
iguanodectidae,bryconops,29.0
cichlidae,bujurquina,16.0
aspredinidae,bunocephalus,6.0
callichthyidae,callichthys,11.0
pimelodidae,callophysus,35.0
gasteropelecidae,carnegiella,24.0
auchenipteridae,centromochlus,7.0
cetopsidae,cetopsis,12.0
cichlidae,chaetobranchus,16.0
loricariidae,chaetostoma,32.0
chalceidae,chalceus,13.0
characidae,chalceus,14.0
crenuchidae,characidium,17.0
characidae,charax,14.0
chilodontidae,chilodus,15.0
anostomidae,chilodus,3.0
characidae,chrysobrycon,14.0
cichlidae,cichla,16.0
cichlidae,cichlasoma,16.0
characidae,colossoma,14.0
lebiasinidae,copeina,30.0
lebiasinidae,copella,30.0
callichthyidae,corydoras,11.0
characidae,creagrutus,14.0
characidae,creagrutus sp.,14.0
cichlidae,crenicara,16.0
cichlidae,crenicichla,16.0
characidae,ctenobrycon,14.0
curimatidae,curimata,19.0
curimatidae,curimatella,19.0
curimatidae,curimatopsis,19.0
cynodontidae,cynodon,20.0
characidae,cynopotamus,14.0
curimatidae,cyphocharax,19.0
cetopsidae,denticetopsis,12.0
