orden,familia,orden_id
characiformes,acestrorhynchidae,4.0
carangiformes,achiridae,3.0
characiformes,anostomidae,4.0
gymnotiformes,apteronotidae,8.0
osteoglossiformes,arapaimidae,11.0
siluriformes,aspredinidae,13.0
siluriformes,auchenipteridae,13.0
batrachoidiformes,batrachoididae,1.0
beloniformes,belonidae,2.0
characiformes,bryconidae,4.0
siluriformes,callichthyidae,13.0
siluriformes,cetopsidae,13.0
characiformes,chalceidae,4.0
characiformes,characidae,4.0
characiformes,chilodontidae,4.0
cichliformes,cichlidae,5.0
characiformes,crenuchidae,4.0
characiformes,ctenoluciidae,4.0
characiformes,curimatidae,4.0
characiformes,cynodontidae,4.0
siluriformes,doradidae,13.0
clupeiformes,engraulididae,6.0
characiformes,erythrinidae,4.0
characiformes,gasteropelecidae,4.0
gymnotiformes,gymnotidae,8.0
characiformes,hemiodontidae,4.0
siluriformes,heptapteridae,13.0
gymnotiformes,hypopomidae,8.0
characiformes,iguanodectidae,4.0
characiformes,lebiasinidae,4.0
lepidosireniformes,lepidosirenidae,9.0
siluriformes,loricariidae,13.0
osteoglossiformes,osteoglossidae,11.0
characiformes,parodontidae,4.0
siluriformes,pimelodidae,13.0
cichliformes,polycentridae,5.0
myliobatiformes,potamotrygonidae,10.0
clupeiformes,pristigasteridae,6.0
characiformes,prochilodontidae,4.0
siluriformes,pseudopimelodidae,13.0
gymnotiformes,rhamphichthyidae,8.0
cyprinodontiformes,rivulidae,7.0
salmoniformes,salmonidae,12.0
characiformes,serrasalmidae,4.0
gymnotiformes,sternopygidae,8.0
synbranchiformes,synbranchidae,14.0
tetraodontiformes,tetraodontidae,15.0
siluriformes,trichomycteridae,13.0
characiformes,triportheidae,4.0
