id,name
10101,Chachapoyas
10102,Asunción
10103,Balsas
10104,Cheto
10105,Chiliquin
10106,Chuquibamba
10107,Granada
10108,Huancas
10109,La Jalca
10110,Leimebamba
10111,Levanto
10112,Magdalena
10113,Mariscal Castilla
10114,Molinopampa
10115,Montevideo
10116,Olleros
10117,Quinjalca
10118,San Francisco de Daguas
10119,San Isidro de Maino
10120,Soloco
10121,Sonche
10201,Bagua
10202,Aramango
10203,Copallin
10204,El Parco
10205,Imaza
10206,La Peca
10301,Jumbilla
10302,Chisquilla
10303,Churuja
10304,Corosha
10305,Cuispes
10306,Florida
10307,Jazan
10308,Recta
10309,San Carlos
10310,Shipasbamba
10311,Valera
10312,Yambrasbamba
10401,Nieva
10402,El Cenepa
10403,Río Santiago
10501,Lamud
10502,Camporredondo
10503,Cocabamba
10504,Colcamar
10505,Conila
10506,Inguilpata
10507,Longuita
10508,Lonya Chico
10509,Luya
10510,Luya Viejo
10511,María
10512,Ocalli
10513,Ocumal
10514,Pisuquia
10515,Providencia
10516,San Cristóbal
10517,San Francisco de Yeso
10518,San Jerónimo
10519,San Juan de Lopecancha
10520,Santa Catalina
10521,Santo Tomas
10522,Tingo
10523,Trita
10601,San Nicolás
10602,Chirimoto
10603,Cochamal
10604,Huambo
10605,Limabamba
10606,Longar
10607,Mariscal Benavides
10608,Milpuc
10609,Omia
10610,Santa Rosa
10611,Totora
10612,Vista Alegre
10701,Bagua Grande
10702,Cajaruro
10703,Cumba
10704,El Milagro
10705,Jamalca
10706,Lonya Grande
10707,Yamon
20101,Huaraz
20102,Cochabamba
20103,Colcabamba
20104,Huanchay
20105,Independencia
20106,Jangas
20107,La Libertad
20108,Olleros
20109,Pampas Grande
20110,Pariacoto
20111,Pira
20112,Tarica
20201,Aija
20202,Coris
20203,Huacllan
20204,La Merced
20205,Succha
20301,Llamellin
20302,Aczo
20303,Chaccho
20304,Chingas
20305,Mirgas
20306,San Juan de Rontoy
20401,Chacas
20402,Acochaca
20501,Chiquian
20502,Abelardo Pardo Lezameta
20503,Antonio Raymondi
20504,Aquia
20505,Cajacay
20506,Canis
20507,Colquioc
20508,Huallanca
20509,Huasta
20510,Huayllacayan
20511,La Primavera
20512,Mangas
20513,Pacllon
20514,San Miguel de Corpanqui
20515,Ticllos
20601,Carhuaz
20602,Acopampa
20603,Amashca
20604,Anta
20605,Ataquero
20606,Marcara
20607,Pariahuanca
20608,San Miguel de Aco
20609,Shilla
20610,Tinco
20611,Yungar
20701,San Luis
20702,San Nicolás
20703,Yauya
20801,Casma
20802,Buena Vista Alta
20803,Comandante Noel
20804,Yautan
20901,Corongo
20902,Aco
20903,Bambas
20904,Cusca
20905,La Pampa
20906,Yanac
20907,Yupan
21001,Huari
21002,Anra
21003,Cajay
21004,Chavin de Huantar
21005,Huacachi
21006,Huacchis
21007,Huachis
21008,Huantar
21009,Masin
21010,Paucas
21011,Ponto
21012,Rahuapampa
21013,Rapayan
21014,San Marcos
21015,San Pedro de Chana
21016,Uco
21101,Huarmey
21102,Cochapeti
21103,Culebras
21104,Huayan
21105,Malvas
21201,Caraz
21202,Huallanca
21203,Huata
21204,Huaylas
21205,Mato
21206,Pamparomas
21207,Pueblo Libre
21208,Santa Cruz
21209,Santo Toribio
21210,Yuracmarca
21301,Piscobamba
21302,Casca
21303,Eleazar Guzmán Barron
21304,Fidel Olivas Escudero
21305,Llama
21306,Llumpa
21307,Lucma
21308,Musga
21401,Ocros
21402,Acas
21403,Cajamarquilla
21404,Carhuapampa
21405,Cochas
21406,Congas
21407,Llipa
21408,San Cristóbal de Rajan
21409,San Pedro
21410,Santiago de Chilcas
21501,Cabana
21502,Bolognesi
21503,Conchucos
21504,Huacaschuque
21505,Huandoval
21506,Lacabamba
21507,Llapo
21508,Pallasca
21509,Pampas
21510,Santa Rosa
21511,Tauca
21601,Pomabamba
21602,Huayllan
21603,Parobamba
21604,Quinuabamba
21701,Recuay
21702,Catac
21703,Cotaparaco
21704,Huayllapampa
21705,Llacllin
21706,Marca
21707,Pampas Chico
21708,Pararin
21709,Tapacocha
21710,Ticapampa
21801,Chimbote
21802,Cáceres del Perú
21803,Coishco
21804,Macate
21805,Moro
21806,Nepeña
21807,Samanco
21808,Santa
21809,Nuevo Chimbote
21901,Sihuas
21902,Acobamba
21903,Alfonso Ugarte
21904,Cashapampa
21905,Chingalpo
21906,Huayllabamba
21907,Quiches
21908,Ragash
21909,San Juan
21910,Sicsibamba
22001,Yungay
22002,Cascapara
22003,Mancos
22004,Matacoto
22005,Quillo
22006,Ranrahirca
22007,Shupluy
22008,Yanama
30101,Abancay
30102,Chacoche
30103,Circa
30104,Curahuasi
30105,Huanipaca
30106,Lambrama
30107,Pichirhua
30108,San Pedro de Cachora
30109,Tamburco
30201,Andahuaylas
30202,Andarapa
30203,Chiara
30204,Huancarama
30205,Huancaray
30206,Huayana
30207,Kishuara
30208,Pacobamba
30209,Pacucha
30210,Pampachiri
30211,Pomacocha
30212,San Antonio de Cachi
30213,San Jerónimo
30214,San Miguel de Chaccrampa
30215,Santa María de Chicmo
30216,Talavera
30217,Tumay Huaraca
30218,Turpo
30219,Kaquiabamba
30220,José María Arguedas
30301,Antabamba
30302,El Oro
30303,Huaquirca
30304,Juan Espinoza Medrano
30305,Oropesa
30306,Pachaconas
30307,Sabaino
30401,Chalhuanca
30402,Capaya
30403,Caraybamba
30404,Chapimarca
30405,Colcabamba
30406,Cotaruse
30407,Ihuayllo
30408,Justo Apu Sahuaraura
30409,Lucre
30410,Pocohuanca
30411,San Juan de Chacña
30412,Sañayca
30413,Soraya
30414,Tapairihua
30415,Tintay
30416,Toraya
30417,Yanaca
30501,Tambobamba
30502,Cotabambas
30503,Coyllurqui
30504,Haquira
30505,Mara
30506,Challhuahuacho
30601,Chincheros
30602,Anco_Huallo
30603,Cocharcas
30604,Huaccana
30605,Ocobamba
30606,Ongoy
30607,Uranmarca
30608,Ranracancha
30609,Rocchacc
30610,El Porvenir
30611,Los Chankas
30701,Chuquibambilla
30702,Curpahuasi
30703,Gamarra
30704,Huayllati
30705,Mamara
30706,Micaela Bastidas
30707,Pataypampa
30708,Progreso
30709,San Antonio
30710,Santa Rosa
30711,Turpay
30712,Vilcabamba
30713,Virundo
30714,Curasco
40101,Arequipa
40102,Alto Selva Alegre
40103,Cayma
40104,Cerro Colorado
40105,Characato
40106,Chiguata
40107,Jacobo Hunter
40108,La Joya
40109,Mariano Melgar
40110,Miraflores
40111,Mollebaya
40112,Paucarpata
40113,Pocsi
40114,Polobaya
40115,Quequeña
40116,Sabandia
40117,Sachaca
40118,San Juan de Siguas
40119,San Juan de Tarucani
40120,Santa Isabel de Siguas
40121,Santa Rita de Siguas
40122,Socabaya
40123,Tiabaya
40124,Uchumayo
40125,Vitor
40126,Yanahuara
40127,Yarabamba
40128,Yura
40129,José Luis Bustamante Y Rivero
40201,Camaná
40202,José María Quimper
40203,Mariano Nicolás Valcárcel
40204,Mariscal Cáceres
40205,Nicolás de Pierola
40206,Ocoña
40207,Quilca
40208,Samuel Pastor
40301,Caravelí
40302,Acarí
40303,Atico
40304,Atiquipa
40305,Bella Unión
40306,Cahuacho
40307,Chala
40308,Chaparra
40309,Huanuhuanu
40310,Jaqui
40311,Lomas
40312,Quicacha
40313,Yauca
40401,Aplao
40402,Andagua
40403,Ayo
40404,Chachas
40405,Chilcaymarca
40406,Choco
40407,Huancarqui
40408,Machaguay
40409,Orcopampa
40410,Pampacolca
40411,Tipan
40412,Uñon
40413,Uraca
40414,Viraco
40501,Chivay
40502,Achoma
40503,Cabanaconde
40504,Callalli
40505,Caylloma
40506,Coporaque
40507,Huambo
40508,Huanca
40509,Ichupampa
40510,Lari
40511,Lluta
40512,Maca
40513,Madrigal
40514,San Antonio de Chuca
40515,Sibayo
40516,Tapay
40517,Tisco
40518,Tuti
40519,Yanque
40520,Majes
40601,Chuquibamba
40602,Andaray
40603,Cayarani
40604,Chichas
40605,Iray
40606,Río Grande
40607,Salamanca
40608,Yanaquihua
40701,Mollendo
40702,Cocachacra
40703,Dean Valdivia
40704,Islay
40705,Mejia
40706,Punta de Bombón
40801,Cotahuasi
40802,Alca
40803,Charcana
40804,Huaynacotas
40805,Pampamarca
40806,Puyca
40807,Quechualla
40808,Sayla
40809,Tauria
40810,Tomepampa
40811,Toro
50101,Ayacucho
50102,Acocro
50103,Acos Vinchos
50104,Carmen Alto
50105,Chiara
50106,Ocros
50107,Pacaycasa
50108,Quinua
