id,genero,familia,familia_id
1,acanthodoras,doradidae,21
2,acaricichthys,cichlidae,16
3,acaronia,cichlidae,16
4,acestrorhynchus,acestrorhynchidae,1
5,aequidens,cichlidae,16
6,ageneiosus,auchenipteridae,7
7,amaralia,aspredinidae,6
8,amblydoras,doradidae,21
9,ammocryptocharax,crenuchidae,17
10,anablepsoides,rivulidae,42
11,anadoras,doradidae,21
12,anchoviella,engraulididae,22
13,ancistrus,loricariidae,32
14,anodus,hemiodontidae,26
15,aphanotorulus,loricariidae,32
16,aphyocharax,characidae,14
17,apionichthys,achiridae,2
18,apistogramma,cichlidae,16
19,apteronotus,apteronotidae,4
20,arapaima,arapaimidae,5
21,astronotus,cichlidae,16
22,astyanax,characidae,14
23,auchenipterichthys,auchenipteridae,7
24,auchenipterus,auchenipteridae,7
25,batrochoglanis,pseudopimelodidae,40
26,biotodoma,cichlidae,16
27,boulengerella,ctenoluciidae,18
28,brachychalcinus,characidae,14
29,brachyhypopomus,hypopomidae,28
30,brachyplatystoma,pimelodidae,35
31,brycon,characidae,14
32,brycon,bryconidae,10
33,bryconops,characidae,14
34,bryconops,iguanodectidae,29
35,bujurquina,cichlidae,16
36,bunocephalus,aspredinidae,6
37,callichthys,callichthyidae,11
38,callophysus,pimelodidae,35
39,carnegiella,gasteropelecidae,24
40,centromochlus,auchenipteridae,7
41,cetopsis,cetopsidae,12
42,chaetobranchus,cichlidae,16
43,chaetostoma,loricariidae,32
44,chalceus,chalceidae,13
45,chalceus,characidae,14
46,characidium,crenuchidae,17
47,charax,characidae,14
48,chilodus,chilodontidae,15
49,chilodus,anostomidae,3
50,chrysobrycon,characidae,14
51,cichla,cichlidae,16
52,cichlasoma,cichlidae,16
53,colossoma,characidae,14
54,copeina,lebiasinidae,30
55,copella,lebiasinidae,30
56,corydoras,callichthyidae,11
57,creagrutus,characidae,14
58,creagrutus sp.,characidae,14
59,crenicara,cichlidae,16
60,crenicichla,cichlidae,16
61,ctenobrycon,characidae,14
62,curimata,curimatidae,19
63,curimatella,curimatidae,19
64,curimatopsis,curimatidae,19
65,cynodon,cynodontidae,20
66,cynopotamus,characidae,14
67,cyphocharax,curimatidae,19
68,denticetopsis,cetopsidae,12
69,dianema,callichthyidae,11
70,duringlanis,auchenipteridae,7
71,eigenmannia,sternopygidae,45
72,elachocharax,crenuchidae,17
73,electrophorus,gymnotidae,25
74,erythrinus,erythrinidae,23
75,farlowella,loricariidae,32
76,gasteropelecus,gasteropelecidae,24
77,goeldiella,heptapteridae,27
78,gymnotus,gymnotidae,25
79,hemigrammus,characidae,14
80,hemiodontichthys,loricariidae,32
81,hemiodus,hemiodontidae,26
82,hemisorubim,pimelodidae,35
83,henonemus,trichomycteridae,48
84,heroina,cichlidae,16
85,heros,cichlidae,16
86,hoplerythrinus,erythrinidae,23
87,hoplias,erythrinidae,23
88,hoplosternum,callichthyidae,11
89,hydrolycus,cynodontidae,20
90,hyphessobrycon,characidae,14
91,hypoclinemus,achiridae,2
92,hypophthalmus,pimelodidae,35
93,hypoptopoma,loricariidae,32
94,hypostomus,loricariidae,32
95,hypselecara,cichlidae,16
96,iguanodectes,iguanodectidae,29
97,imparfinis,heptapteridae,27
98,jupiaba,characidae,14
99,knodus,characidae,14
100,laemolyta,anostomidae,3
101,laetacara,cichlidae,16
102,lasiancistrus,loricariidae,32
103,leiarius,pimelodidae,35
104,lepidosiren,lepidosirenidae,31
105,leporinus,anostomidae,3
106,leporinus,cichlidae,16
107,leptodoras,doradidae,21
108,loricaria,loricariidae,32
109,loricariichthys,loricariidae,32
110,lugubria,cichlidae,16
111,lycengraulis,engraulididae,22
112,megalechis,callichthyidae,11
113,megaleporinus,anostomidae,3
114,melanocharacidium,crenuchidae,17
115,mesonauta,cichlidae,16
116,metynnis,serrasalmidae,44
117,microschemobrycon,characidae,14
118,moenkhausia,characidae,14
119,monocirrhus,polycentridae,36
120,myloplus,serrasalmidae,44
121,mylossoma,characidae,14
122,mylossoma,serrasalmidae,44
123,nannostomus,lebiasinidae,30
124,ochmacanthus,trichomycteridae,48
125,oncorhynchus,salmonidae,43
126,osteoglossum,osteoglossidae,33
127,oxyropsis,loricariidae,32
128,panaqolus,loricariidae,32
129,panaque,loricariidae,32
130,paragoniates,characidae,14
131,paratrygon,potamotrygonidae,37
132,parodon,parodontidae,34
133,peckoltia,loricariidae,32
134,peckoltichthys,loricariidae,32
135,pellona,pristigasteridae,38
136,phenacogaster,characidae,14
137,phenacorhamdia,heptapteridae,27
138,piaractus,characidae,14
139,pimelodella,heptapteridae,27
140,pimelodella,auchenipteridae,7
141,pimelodus,pimelodidae,35
142,pinirampus,pimelodidae,35
143,planiloricaria,loricariidae,32
144,platydoras,doradidae,21
145,platysilurus,pimelodidae,35
146,platyurosternarchus,apteronotidae,4
147,potamorhina,curimatidae,19
148,potamorrhaphis,belonidae,9
149,potamotrygon,potamotrygonidae,37
150,prionobrama,characidae,14
151,pristigaster,pristigasteridae,38
152,prochilodus,prochilodontidae,39
153,psectrogaster,curimatidae,19
154,pseudanos,anostomidae,3
155,pseudobunocephalus,aspredinidae,6
156,pseudohemiodon,loricariidae,32
157,pseudopimelodus,pseudopimelodidae,40
158,pseudoplatystoma,pimelodidae,35
159,pseudorinelepis,loricariidae,32
160,pseudotylosurus,belonidae,9
161,pterophyllum,cichlidae,16
162,pterygoplichthys,loricariidae,32
163,pygocentrus,serrasalmidae,44
164,pyrrhulina,lebiasinidae,30
165,rhamphichthys,rhamphichthyidae,41
166,rhandia,heptapteridae,27
167,rhaphiodon,cynodontidae,20
168,rineloricaria,loricariidae,32
169,rineloricaria sp.,loricariidae,32
170,roeboides,characidae,14
171,salminus,bryconidae,10
172,satanoperca,cichlidae,16
173,saxatilia,cichlidae,16
174,schizodon,anostomidae,3
175,semaprochilodus,prochilodontidae,39
176,serrapinnus,characidae,14
177,serrasalmus,characidae,14
178,serrasalmus,serrasalmidae,44
179,serrrasalmus,serrasalmidae,44
180,sorubim,pimelodidae,35
181,sorubin,pimelodidae,35
182,spatuloricaria,loricariidae,32
183,sphoeroides,tetraodontidae,47
184,steatogenys,rhamphichthyidae,41
185,steindachnerina,curimatidae,19
186,sternopygus,sternopygidae,45
187,stethaprion,characidae,14
188,stichonodon,characidae,14
189,synbranchus,synbranchidae,46
190,tahuantinsuyoa,cichlidae,16
191,tatia,auchenipteridae,7
192,tenellus,doradidae,21
193,tetragonopterus,characidae,14
194,thalassophryne,batrachoididae,8
195,thayeria,characidae,14
196,thoracocharax,gasteropelecidae,24
197,trachelyopterus,auchenipteridae,7
198,trachydoras,doradidae,21
199,triportheus,triportheidae,49
200,tyttocharax,characidae,14
201,zungaro,pimelodidae,35
