id,scientific_name
1,acanthodoras spinosissimus
2,acarichthys heckelii
3,acaronia nassa
4,acestrorhynchus falcatus
5,acestrorhynchus falcirostris
6,acestrorhynchus heterolepis
7,acestrorhynchus lacustris
8,acestrorhynchus microlepis
9,acestrorhynchus sp.
10,aequidens diadema
11,aequidens tetramerus
12,ageneiosus inermis
13,ageneiosus uranophthalmus
14,ageneiosus vittatus
15,amaralia hypsiura
16,amblydoras affinis
17,amblydoras hancockii
18,ammocryptocharax elegans
19,anablepsoides sp.
20,anadoras grypus
21,anchoviella sp.
22,ancistrus sp.
23,ancistrus sp. 1
24,ancistrus sp. 2
25,ancistrus sp. 3
26,anodus elongatus
27,aphanotorulus emarginatus
28,aphanotorulus horridus
29,aphyocharax pusillus
30,apionichthys cf. nattereri
31,apionichthys sp.
32,apistogramma eunotus
33,apistogramma sp.
34,apteronotus albifrons
35,arapaima gigas
36,astronotus ocellatus
37,astyanax abramis
38,astyanax multidens
39,astyanax sp.
40,auchenipterichthys coracoideus
41,auchenipterus nuchalis
42,auchenipterus sp. 1
43,auchenipterus sp. 2
44,batrochoglanis raninus
45,biotodoma cupido
46,boulengerella cuvieri
47,boulengerella maculata
48,brachychalcinus nummus
49,brachyhypopomus sp.
50,brachyplatystoma rousseauxii
51,brycon amazonicus
52,brycon melanopterus
53,bryconops caudomaculatus
54,bryconops inpai
55,bryconops melanurus
56,bryconops sp.
57,bujurquina huallagae
58,bujurquina moriorum
59,bujurquina ortegai
60,bujurquina pardus
61,bujurquina peregrinabunda
62,bujurquina robusta
63,bujurquina syspilus
64,bunocephalus coracoideus
65,bunocephalus verrucosus
66,callichthys callichthys
67,callophysus macropterus
68,carnegiella sp.
69,carnegiella strigata
70,centromochlus heckelii
71,cetopsis candiru
72,cetopsis coecutiens
73,cetopsis sp.
74,chaetobranchus flavescens
75,chaetobranchus semifasciatus
76,chaetostoma sp.
77,chalceus erythrurus
78,chalceus macrolepidotus
79,chalceus sp.
80,characidae sp.
81,characidium etheostoma
82,characidium pellucidum
83,characidium pteroides
84,characidium sp.
85,characidium steindachneri
86,charax caudimaculatus
87,charax gibbosus
88,charax sp.
89,charax tectifer
90,chilodus punctatus
91,chilodus punctatus
92,chrysobrycon cf. hesperus
93,chrysobrycon eliasi
94,chrysobrycon yoliae
95,cichla monoculus
96,cichlasoma amazonarum
97,colossoma macropomum
98,copeina guttata
99,copeina osgoodi
100,copella metae
101,corydoras agassizii
102,corydoras armatus
103,corydoras cf. sychri
104,corydoras leucomelas
105,corydoras multiradiatus
106,corydoras pastazensis
107,corydoras rabauti
108,corydoras semiaquilus
109,corydoras splendens
110,creagrutus cochui
111,creagrutus sp.
112,crenicara punctulata
113,crenicichla johanna
114,crenicichla lucius
115,crenicichla proteus
116,crenicichla reticulatus
117,crenicichla sedentaria
118,crenicichla sp.
119,ctenobrycon hauxwellianus
120,curimata aspera
121,curimata cisandina
122,curimata cisandina
