pais,region,provincia,distrito,localidad
peru,loreto,maynas,torres causana,(comunidad buen suceso)
peru,loreto,maynas,None,-
peru,loreto,loreto,tigre,28 de julio
peru,loreto,maynas,iquitos,None
peru,loreto,mariscal ramon castilla,yavari,None
peru,loreto,maynas,alto nanay,None
peru,loreto,maynas,belen,None
peru,loreto,loreto,nauta,None
peru,loreto,maynas,fernando lores,None
peru,loreto,maynas,las amazonas,None
peru,loreto,maynas,napo,None
peru,loreto,None,None,None
peru,cusco,la convencion,megantoni,None
peru,madre de dios,None,None,None
peru,loreto,maynas,punchana,None
peru,san martin,None,None,None
peru,ucayali,coronel portillo,masisea,None
peru,madre de dios,tahuamanu,tahuamanu,None
peru,None,None,None,None
peru,loreto,requena,puinahua,None
None,None,None,None,None
peru,loreto,maynas,None,None
peru,loreto,maynas,torres causana,None
peru,loreto,loreto,tigre,None
peru,loreto,loreto,parinari,None
peru,loreto,None,None,allpahuayo
peru,loreto,maynas,san juan bautista,allpahuayo
peru,ucayali,coronel portillo,masisea,alto ucayali
peru,loreto,maynas,torres causana,aranda cocha
peru,loreto,loreto,parinari,atun cocha
peru,loreto,None,None,base arica
peru,loreto,maynas,napo,base arica - repsol
peru,loreto,None,None,bufeo quebrada
peru,loreto,maynas,napo,campamento panguana
peru,loreto,maynas,torres causana,campo serio
peru,loreto,None,None,camu camu cocha
peru,loreto,None,None,camunidad campo serio
peru,loreto,requena,puinahua,canal puinahua
peru,loreto,maynas,belen,canta gallo
peru,loreto,loreto,trompeteros,caserio cuchara/rio corrientes
peru,madre de dios,None,None,caserio infierno
peru,madre de dios,None,None,caserio infierno rio tambopata
peru,loreto,loreto,trompeteros,caserio providencia
peru,loreto,None,None,caño
peru,loreto,maynas,torres causana,caño anuncho
peru,loreto,maynas,torres causana,caño anuncho/yanayacu pucate
peru,loreto,maynas,torres causana,caño garza
peru,loreto,maynas,san juan bautista,caño santo tomas
peru,loreto,None,None,caño ungurahui
