pais,region,provincia,distrito,localidad
Perú,Loreto,Alto Amazonas,Lagunas,lago lagunas 
Perú,Ucayali,Coronel Portillo,Callería,Chanajao cerca al imiria 
Perú,Ucayali,Coronel Portillo,Callería,Chanajao
Perú,Ucayali,Coronel Portillo,Callería,Chanarrao
Perú,Ucayali,Coronel Portillo,Callería,chanajao
Perú,Ucayali,Coronel Portillo,Callería,Chanajao
Perú,Ucayali,Coronel Portillo,Callería,chanajao (alto ucayali )
Perú,Ucayali,Coronel Portillo,Masisea,Alto Ucayali
Perú,Ucayali,Coronel Portillo,Masisea,Alto Ucayali
Perú,Ucayali,Coronel Portillo,Masisea,San Antonio
Perú,Ucayali,Coronel Portillo,Masisea,Lago Imiria
Perú,Ucayali,Coronel Portillo,Masisea,San Antonio
Perú,Ucayali,Coronel Portillo,Masisea,San Antonio
Perú,Ucayali,Coronel Portillo,Masisea,San Antonio
Perú,Ucayali,Coronel Portillo,Masisea,Lago Imiria
Perú,Ucayali,Coronel Portillo,Masisea,san antonio alto ucayali 
Perú,Ucayali,Coronel Portillo,Masisea,Lago imiria (alto ucayali
Perú,Ucayali,Coronel Portillo,Masisea,San Antonio - Alto Ucayali
Perú,Ucayali,Coronel Portillo,Masisea,
Perú,San Martín,El Dorado,San José de Sisa,San José de Sisa
Perú,San Martín,Huallaga,Saposoa,saposoa 
Perú,Cajamarca,Jaén,,Río Chamaya 
Perú,Cajamarca,Jaén,,Río Chamaya 
Perú,Cusco,La Convención,Megantoni,
Perú,Cusco,La Convención,Megantoni,quebrada 
Perú,Cusco,La Convención,Megantoni,comunidad nueva vida 
Perú,Cusco,La Convención,Megantoni,comunidad nueva vida 
Perú,Ayacucho,La Mar,Anco,San Antonio
Perú,Ayacucho,La Mar,,Río Apurimac (Kimbiri)
Perú,Ayacucho,La Mar,,Río Apurimac (Kimbiri)
Perú,Loreto,Loreto,Nauta,comunidad carocurahayte
Perú,Loreto,Loreto,Nauta,
Perú,Loreto,Loreto,Nauta,San Pablo Tipishca
Perú,Loreto,Loreto,Nauta,
Perú,Loreto,Loreto,Nauta,
Perú,Loreto,Loreto,Nauta,
Perú,Loreto,Loreto,Nauta,Quebrada Safira
Perú,Loreto,Loreto,Nauta,Cocha Mauca
Perú,Loreto,Loreto,Nauta,nauta
Perú,Loreto,Loreto,Nauta,san pablo de tipishca 
Perú,Loreto,Loreto,Nauta,San pablo de tipishca (Río Marañon
Perú,Loreto,Loreto,Nauta,Huarmi isla 
Perú,Loreto,Loreto,Nauta,Huarmi isla 
Perú,Loreto,Loreto,Nauta,Cocha mauca (río yanayacu-pucate)
Perú,Loreto,Loreto,Nauta,Huarmi isla 
Perú,Loreto,Loreto,Nauta,Huarmi isla 
Perú,Loreto,Loreto,Nauta,Huarmi isla 
Perú,Loreto,Loreto,Nauta,Huarmi isla 
Perú,Loreto,Loreto,Nauta,Huarmi isla 
Perú,Loreto,Loreto,Nauta,Huarmi isla 
Perú,Loreto,Loreto,Nauta,San Pablo Tipishca(Rio Marañon)
Perú,Loreto,Loreto,Parinari,Atún Cocha
Perú,Loreto,Loreto,Parinari,Atún Cocha
Perú,Loreto,Loreto,Parinari,Atún Cocha
Perú,Loreto,Loreto,Parinari,
Perú,Loreto,Loreto,Parinari,
Perú,Loreto,Loreto,Parinari,Atún Cocha
Perú,Loreto,Loreto,Parinari,Atún Cocha
Perú,Loreto,Loreto,Parinari,Atún Cocha
Perú,Loreto,Loreto,Parinari,Atún Cocha
Perú,Loreto,Loreto,Parinari,Atún Cocha
Perú,Loreto,Loreto,Parinari,Atún cocha
Perú,Loreto,Loreto,Parinari,Atún Cocha
Perú,Loreto,Loreto,Parinari,Atún Cocha
Perú,Loreto,Loreto,Parinari,Atún Cocha
Perú,Loreto,Loreto,Parinari,río Samiria 
Perú,Loreto,Loreto,Tigre,comunidad 28 de julio
Perú,Loreto,Loreto,Tigre,Tipishca Virote
Perú,Loreto,Loreto,Tigre,comunidad 28 de julio
Perú,Loreto,Loreto,Tigre,Despensa
