familia,genero,nombre_cientifico,especie
doradidae,acanthodoras,acanthodoras spinosissimus,spinosissimus
cichlidae,acaricichthys,acarichthys heckelii,heckelii
cichlidae,acaronia,acaronia nassa,nassa
acestrorhynchidae,acestrorhynchus,acestrorhynchus falcatus,falcatus
acestrorhynchidae,acestrorhynchus,acestrorhynchus falcirostris,falcirostris
acestrorhynchidae,acestrorhynchus,acestrorhynchus heterolepis,heterolepis
acestrorhynchidae,acestrorhynchus,acestrorhynchus lacustris,lacustris
acestrorhynchidae,acestrorhynchus,acestrorhynchus microlepis,microlepis
acestrorhynchidae,acestrorhynchus,acestrorhynchus sp.,sp.
cichlidae,aequidens,aequidens diadema,diadema
cichlidae,aequidens,aequidens tetramerus,tetramerus
auchenipteridae,ageneiosus,ageneiosus inermis,inermis
auchenipteridae,ageneiosus,ageneiosus uranophthalmus,uranopohthalmus
auchenipteridae,ageneiosus,ageneiosus vittatus,dunni
aspredinidae,amaralia,amaralia hypsiura,hypsiura
doradidae,amblydoras,amblydoras affinis,affinis
doradidae,amblydoras,amblydoras hancockii,hancockii
crenuchidae,ammocryptocharax,ammocryptocharax elegans,elegans
rivulidae,anablepsoides,anablepsoides sp.,sp.
doradidae,anadoras,anadoras grypus,grypus
engraulididae,anchoviella,anchoviella sp.,sp.
loricariidae,ancistrus,ancistrus sp.,sp.
loricariidae,ancistrus,ancistrus sp. 1,sp. 1
loricariidae,ancistrus,ancistrus sp. 2,sp. 2
loricariidae,ancistrus,ancistrus sp. 3,sp. 3
hemiodontidae,anodus,anodus elongatus,elongatus
loricariidae,aphanotorulus,aphanotorulus emarginatus,emarginatus
loricariidae,aphanotorulus,aphanotorulus horridus,horridus
characidae,aphyocharax,aphyocharax pusillus,pusillus
achiridae,apionichthys,apionichthys cf. nattereri,cf. nattereri
achiridae,apionichthys,apionichthys sp.,sp.
cichlidae,apistogramma,apistogramma eunotus,eunotus
cichlidae,apistogramma,apistogramma sp.,sp.
apteronotidae,apteronotus,apteronotus albifrons,albifroms
arapaimidae,arapaima,arapaima gigas,gigas
cichlidae,astronotus,astronotus ocellatus,ocellatus
characidae,astyanax,astyanax abramis,abramis
characidae,astyanax,astyanax multidens,multidens
characidae,astyanax,astyanax sp.,sp.
auchenipteridae,auchenipterichthys,auchenipterichthys coracoideus,coracoideus
auchenipteridae,auchenipterus,auchenipterus nuchalis,nuchalis
auchenipteridae,auchenipterus,auchenipterus sp. 1,sp. 1
auchenipteridae,auchenipterus,auchenipterus sp. 2,sp. 2
pseudopimelodidae,batrochoglanis,batrochoglanis raninus,raninus
cichlidae,biotodoma,biotodoma cupido,cupido
ctenoluciidae,boulengerella,boulengerella cuvieri,cuvieri
ctenoluciidae,boulengerella,boulengerella maculata,maculata
characidae,brachychalcinus,brachychalcinus nummus,nummus
hypopomidae,brachyhypopomus,brachyhypopomus sp.,sp.
pimelodidae,brachyplatystoma,brachyplatystoma rousseauxii,rousseauxii
bryconidae,brycon,brycon amazonicus,amazonicus
characidae,brycon,brycon melanopterus,melanopterus
iguanodectidae,bryconops,bryconops caudomaculatus,caudomaculatus
characidae,bryconops,bryconops inpai,inpai
iguanodectidae,bryconops,bryconops melanurus,melanurus
iguanodectidae,bryconops,bryconops sp.,sp.
cichlidae,bujurquina,bujurquina huallagae,huallagae
cichlidae,bujurquina,bujurquina moriorum,moriorum
cichlidae,bujurquina,bujurquina ortegai,ortegai
cichlidae,bujurquina,bujurquina pardus,pardus
cichlidae,bujurquina,bujurquina peregrinabunda,peregrinabunda
cichlidae,bujurquina,bujurquina robusta,robusta
cichlidae,bujurquina,bujurquina syspilus,syspilus
aspredinidae,bunocephalus,bunocephalus coracoideus,caracoideus
aspredinidae,bunocephalus,bunocephalus verrucosus,verrucosus
callichthyidae,callichthys,callichthys callichthys,callichthys
pimelodidae,callophysus,callophysus macropterus,macropterus
gasteropelecidae,carnegiella,carnegiella sp.,sp.
gasteropelecidae,carnegiella,carnegiella strigata,strigata
auchenipteridae,centromochlus,centromochlus heckelii,heckelii
cetopsidae,cetopsis,cetopsis candiru,candiru
cetopsidae,cetopsis,cetopsis coecutiens,coecutiens
cetopsidae,cetopsis,cetopsis sp.,sp.
cichlidae,chaetobranchus,chaetobranchus flavescens,flavescens
cichlidae,chaetobranchus,chaetobranchus semifasciatus,semifasciatus
loricariidae,chaetostoma,chaetostoma sp.,sp.
characidae,chalceus,chalceus erythrurus,erythrurus
characidae,chalceus,chalceus macrolepidotus,macrolepidotus
chalceidae,chalceus,chalceus sp.,sp.
None,None,characidae sp.,None
crenuchidae,characidium,characidium etheostoma,etheostoma
crenuchidae,characidium,characidium pellucidum,pellucidum
crenuchidae,characidium,characidium pteroides,pteroides
crenuchidae,characidium,characidium sp.,sp.
crenuchidae,characidium,characidium steindachneri,steindachneri
characidae,charax,charax caudimaculatus,caudimaculatus
characidae,charax,charax gibbosus,gibbosus
characidae,charax,charax sp.,sp.
characidae,charax,charax tectifer,tectifer
chilodontidae,chilodus,chilodus punctatus,punctatus
anostomidae,chilodus,chilodus punctatus,punctatus
characidae,chrysobrycon,chrysobrycon cf. hesperus,cf. hesperus
characidae,chrysobrycon,chrysobrycon eliasi,eliasi
characidae,chrysobrycon,chrysobrycon yoliae,yoliae
cichlidae,cichla,cichla monoculus,monoculus
cichlidae,cichlasoma,cichlasoma amazonarum,amazonarum
characidae,colossoma,colossoma macropomum,macropomum
lebiasinidae,copeina,copeina guttata,guttata
lebiasinidae,copeina,copeina osgoodi,orsgoodi
lebiasinidae,copella,copella metae,metae
callichthyidae,corydoras,corydoras agassizii,leucomelas
callichthyidae,corydoras,corydoras armatus,armatus
callichthyidae,corydoras,corydoras cf. sychri,sychri
callichthyidae,corydoras,corydoras leucomelas,leucomelas
callichthyidae,corydoras,corydoras multiradiatus,multiradiatus
callichthyidae,corydoras,corydoras pastazensis,pastazensis
callichthyidae,corydoras,corydoras rabauti,rabauti
callichthyidae,corydoras,corydoras semiaquilus,semiaquilus
callichthyidae,corydoras,corydoras splendens,splendens
characidae,creagrutus,creagrutus cochui,cochui
characidae,creagrutus sp.,creagrutus sp.,sp.
cichlidae,crenicara,crenicara punctulata,punctulata
cichlidae,crenicichla,crenicichla johanna,johanna
cichlidae,crenicichla,crenicichla lucius,lucius
cichlidae,crenicichla,crenicichla proteus,proteus
cichlidae,crenicichla,crenicichla reticulatus,reticulatus
cichlidae,crenicichla,crenicichla sedentaria,sedentaria
cichlidae,crenicichla,crenicichla sp.,sp.
characidae,ctenobrycon,ctenobrycon hauxwellianus,hauxwellianus
curimatidae,curimata,curimata aspera,aspera
curimatidae,curimata,curimata cisandina,cisandina
curimatidae,curimatopsis,curimata cisandina,macrolepis
curimatidae,curimata,curimata knerii,kneri
curimatidae,curimata,curimata knerii,knerii
curimatidae,curimata,curimata roseni,roseni
curimatidae,curimata,curimata vittata,vittata
curimatidae,curimatella,curimatella alburnus,alburnus
curimatidae,curimatella,curimatella dorsalis,dorsalis
curimatidae,curimatella,curimatella meyeri,meyeri
curimatidae,curimatella,curimatella sp. 1,sp. 1
curimatidae,curimatopsis,curimatopsis macrolepis,macrolepis
cynodontidae,cynodon,cynodon gibbus,gibbus
characidae,cynopotamus,cynopotamus amazonus,amazonus
curimatidae,cyphocharax,cyphocharax festivus,festivus
curimatidae,cyphocharax,cyphocharax notatus,cyphocharax
curimatidae,cyphocharax,cyphocharax notatus,notatus
curimatidae,cyphocharax,cyphocharax pantostictos,pantostictos
curimatidae,cyphocharax,cyphocharax sp.,sp.
curimatidae,cyphocharax,cyphocharax sp. 1,sp. 1
curimatidae,cyphocharax,cyphocharax sp. 2,sp. 2
curimatidae,cyphocharax,cyphocharax spiluropsis,spiluropsis
cetopsidae,denticetopsis,denticetopsis seducta,seducta
callichthyidae,dianema,dianema longibarbis,longibarbis
callichthyidae,dianema,dianema urostriatum,urostriatum
auchenipteridae,duringlanis,duringlanis perugiae,perugiae
sternopygidae,eigenmannia,eigenmannia limbata,limbata
sternopygidae,eigenmannia,eigenmannia sp.,sp.
crenuchidae,elachocharax,elachocharax pulcher,pulcher
gymnotidae,electrophorus,electrophorus varii,varii
erythrinidae,erythrinus,erythrinus erythrinus,erythrinus
loricariidae,farlowella,farlowella amazonum,amazonum
loricariidae,farlowella,farlowella smithi,smithi
loricariidae,farlowella,farlowella sp.,sp.
gasteropelecidae,gasteropelecus,gasteropelecus sternicla,sternicla
heptapteridae,goeldiella,goeldiella eques,eques
gymnotidae,gymnotus,gymnotus carapo,carapo
gymnotidae,gymnotus,gymnotus javari,javari
characidae,hemigrammus,hemigrammus cf. hyanuary,cf. hyanuary
characidae,hemigrammus,hemigrammus hyanuary,hyanuary
characidae,hemigrammus,hemigrammus levis,levis
characidae,hemigrammus,hemigrammus marginatus,marginatus
characidae,hemigrammus,hemigrammus ocellifer,ocellifer
characidae,hemigrammus,hemigrammus pulcher,pulcher
characidae,hemigrammus,hemigrammus sp.,sp.
characidae,hemigrammus,hemigrammus unilineatus,unilineatus
loricariidae,hemiodontichthys,hemiodontichthys acipenserinus,acipenserinus
hemiodontidae,hemiodus,hemiodus microlepis,microlepis
hemiodontidae,hemiodus,hemiodus sp.,sp.
hemiodontidae,hemiodus,hemiodus unimaculatus,unimaculatus
pimelodidae,hemisorubim,hemisorubim platyrhynchos,platyrhynchos
trichomycteridae,henonemus,henonemus punctatus,punctatus
trichomycteridae,henonemus,henonemus sp.,sp.
cichlidae,heroina,heroina isonycterina,isonycterina
cichlidae,heros,heros efasciatus,efasciatus
erythrinidae,hoplerythrinus,hoplerythrinus unitaeniatus,unitaeniatus
erythrinidae,hoplias,hoplias malabaricus,malabaricus
callichthyidae,hoplosternum,hoplosternum littorale,littorale
cynodontidae,hydrolycus,hydrolycus scomberoides,scomberoides
characidae,hyphessobrycon,hyphessobrycon copelandi,copelandi
achiridae,hypoclinemus,hypoclinemus mentalis,mentalis
pimelodidae,hypophthalmus,hypophthalmus celiae,celiae
pimelodidae,hypophthalmus,hypophthalmus oremaculatus,oremaculatus
loricariidae,hypoptopoma,hypoptopoma gulare,gulare
loricariidae,hypoptopoma,hypoptopoma psilogaster,psilogaster
loricariidae,hypostomus,hypostomus oculeus,oculeus
loricariidae,hypostomus,hypostomus sp.,sp.
loricariidae,hypostomus,hypostomus sp. 1,sp. 1
loricariidae,hypostomus,hypostomus sp. 2,sp. 2
loricariidae,hypostomus,hypostomus sp. 3,sp. 3
loricariidae,hypostomus,hypostomus sp. 4,sp. 4
cichlidae,hypselecara,hypselecara temporalis,temporalis
iguanodectidae,iguanodectes,iguanodectes purusii,purusii
iguanodectidae,iguanodectes,iguanodectes sp.,sp.
iguanodectidae,iguanodectes,iguanodectes spilurus,spilurus
heptapteridae,imparfinis,imparfinis sp.,sp.
characidae,jupiaba,jupiaba anteroides,anteroides
characidae,jupiaba,jupiaba sp.,sp.
characidae,knodus,knodus sp.,sp.
anostomidae,laemolyta,laemolyta taeniata,taeniata
cichlidae,laetacara,laetacara thayeri,thayeri
loricariidae,lasiancistrus,lasiancistrus schomburgkii,schomburgkii
pimelodidae,leiarius,leiarius marmoratus,marmoratus
lepidosirenidae,lepidosiren,lepidosiren paradoxa,paradoxa
anostomidae,leporinus,leporinus agassizi,agassizi
anostomidae,leporinus,leporinus cf. agassizii,cf. agassizii
anostomidae,leporinus,leporinus fasciatus,fasciatus
anostomidae,leporinus,leporinus friderici,friderici
cichlidae,leporinus,leporinus friderici,friderici
anostomidae,leporinus,leporinus maculatus,maculatus
anostomidae,leporinus,leporinus moralesi,moralesi
anostomidae,leporinus,leporinus sp.,sp.
anostomidae,leporinus,leporinus sp. 1,sp. 1
doradidae,leptodoras,leptodoras acipenserinus,acipenserinus
loricariidae,loricaria,loricaria sp.,sp.
loricariidae,loricariichthys,loricariichthys maculatus,maculatus
loricariidae,loricariichthys,loricariichthys nudirostris,nudirostris
loricariidae,loricariichthys,loricariichthys sp.,sp.
cichlidae,lugubria,lugubria cincta,cincta
engraulididae,lycengraulis,lycengraulis batesii,batesii
callichthyidae,megalechis,megalechis picta,picta
callichthyidae,megalechis,megalechis thoracata,thoracata
anostomidae,megaleporinus,megaleporinus trifasciatus,trifasciatus
crenuchidae,melanocharacidium,melanocharacidium sp.,sp.
cichlidae,mesonauta,mesonauta insignis,insignis
cichlidae,mesonauta,mesonauta mirificus,mirificus
serrasalmidae,metynnis,metynnis luna,luna
serrasalmidae,metynnis,metynnis maculatus,maculatus
serrasalmidae,metynnis,metynnis sp.,sp.
characidae,microschemobrycon,microschemobrycon geisleri,geisleri
characidae,microschemobrycon,microschemobrycon sp.,sp.
characidae,moenkhausia,moenkhausia agnesae,agnesae
characidae,moenkhausia,moenkhausia ceros,ceros
characidae,moenkhausia,moenkhausia cf. lepidrua,cf. lepidrua
characidae,moenkhausia,moenkhausia collettii,collettii
characidae,moenkhausia,moenkhausia comma,comma
characidae,moenkhausia,moenkhausia grandisquamis,grandisquamis
characidae,moenkhausia,moenkhausia intermedia,intermedia
characidae,moenkhausia,moenkhausia melogramma,melogramma
characidae,moenkhausia,moenkhausia oligolepis,oligolepis
characidae,moenkhausia,moenkhausia sp.,sp.
characidae,moenkhausia,moenkhausia sp. 1,sp. 1
characidae,moenkhausia,moenkhausia sp. 2,sp. 2
characidae,moenkhausia,moenkhuausia cf. dichroura,cf. dichroura
polycentridae,monocirrhus,monocirrhus polyacanthus,polyacanthus
serrasalmidae,myloplus,myloplus cf. levis,cf. levis
serrasalmidae,myloplus,myloplus rubripinnis,rubripinnis
serrasalmidae,myloplus,myloplus schomburgkii,schomburgkii
serrasalmidae,myloplus,myloplus sp.,sp.
serrasalmidae,mylossoma,mylossoma albiscopum,albiscopum
characidae,mylossoma,mylossoma albiscopum,albiscopum
serrasalmidae,mylossoma,mylossoma aureum,aureum
lebiasinidae,nannostomus,nannostomus eques,eques
lebiasinidae,nannostomus,nannostomus trifasciatus,trifasciatus
trichomycteridae,ochmacanthus,ochmacanthus reinhardtii,reinhardtii
salmonidae,oncorhynchus,oncorhynchus mykiss,mykiss
osteoglossidae,osteoglossum,osteoglossum bicirrhosum,bicirrhosum
loricariidae,oxyropsis,oxyropsis wrightiana,wrightiana
loricariidae,panaqolus,panaqolus changae,changae
loricariidae,panaque,panaque sp.,sp.
characidae,paragoniates,paragoniates alburnus,alburnus
potamotrygonidae,paratrygon,paratrygon aiereba,aiereba
parodontidae,parodon,parodon buckleyi,buckleyi
parodontidae,parodon,parodon pongoensis,pongoensis
loricariidae,peckoltia,peckoltia sp. 1,sp. 1
loricariidae,peckoltia,peckoltia sp. 2,sp. 2
loricariidae,peckoltichthys,peckoltichthys bachi,bachi
pristigasteridae,pellona,pellona flavipinnis,flavipinnis
characidae,phenacogaster,phenacogaster pectinata,pectinata
characidae,phenacogaster,phenacogaster sp.,sp.
heptapteridae,phenacorhamdia,phenacorhamdia sp.,sp.
characidae,piaractus,piaractus brachypomus,brachypomus
auchenipteridae,pimelodella,pimelodella buckleyi,buckleyi
heptapteridae,pimelodella,pimelodella cristata,cristata
heptapteridae,pimelodella,pimelodella gracilis,gracilis
pimelodidae,pimelodus,pimelodus blochii,blochii
pimelodidae,pimelodus,pimelodus ornatus,ornatus
pimelodidae,pimelodus,pimelodus pictus,pictus
pimelodidae,pinirampus,pinirampus pirinampu,pirinampu
loricariidae,planiloricaria,planiloricaria cryptodon,cryptodon
doradidae,platydoras,platydoras armatulus,armatulus
pimelodidae,platysilurus,platysilurus mucosus,mucosus
apteronotidae,platyurosternarchus,platyurosternarchus macrostoma,macrostoma
curimatidae,potamorhina,potamorhina altamazonica,altamazonica
curimatidae,potamorhina,potamorhina latior,latior
curimatidae,potamorhina,potamorhina pristigaster,pristigaster
belonidae,potamorrhaphis,potamorrhaphis eigenmanni,eigenmanni
belonidae,potamorrhaphis,potamorrhaphis guianensis,guianensis
potamotrygonidae,potamotrygon,potamotrygon motoro,motoro
potamotrygonidae,potamotrygon,potamotrygon tigrina,tigrina
characidae,prionobrama,prionobrama filigera,filigera
pristigasteridae,pristigaster,pristigaster cayana,cayana
prochilodontidae,prochilodus,prochilodus nigricans,nigricans
curimatidae,psectrogaster,psectrogaster amazonica,amazonica
curimatidae,psectrogaster,psectrogaster essequibensis,essequibensis
curimatidae,psectrogaster,psectrogaster rutiloides,rutiloides
anostomidae,pseudanos,pseudanos trimaculatus,trimaculatus
aspredinidae,pseudobunocephalus,pseudobunocephalus bifidus,bifidus
loricariidae,pseudohemiodon,pseudohemiodon lamina,lamina
pseudopimelodidae,pseudopimelodus,pseudopimelodus bufonius,bufonius
pimelodidae,pseudoplatystoma,pseudoplatystoma punctifer,punctifer
loricariidae,pseudorinelepis,pseudorinelepis genibarbis,genibarbis
belonidae,pseudotylosurus,pseudotylosurus angusticeps,angusticeps
