nombre_cientifico,autor_nombre_cientifico
Acanthodoras spinosissimus,(Eigenmann & Eigenmann 1888)
Acarichthys heckelii,(Müller & Troschel 1849)
Acaronia nassa,(Heckel 1840)
Acestrorhynchus falcatus,(Bloch 1794)
Acestrorhynchus falcirostris,(Cuvier 1819)
Acestrorhynchus heterolepis,(Cope 1878)
Acestrorhynchus lacustris,(Lütken 1875)
Acestrorhynchus microlepis,(Schomburgk 1841)
Acestrorhynchus sp. ,None
Aequidens diadema ,(Heckel 1840)
Aequidens tetramerus,(Heckel 1840)
Ageneiosus inermis,Linnaeus 1766
Ageneiosus inermis,(Linnaeus 1766)
Ageneiosus uranophthalmus,Ribeiro y Rapp Py-Daniel 2010
Ageneiosus vittatus ,Steindachner 1908
Amaralia hypsiura,(Kner 1855)
Amblydoras affinis,(Kner 1855)
Amblydoras hancockii,(Valenciennes 1840)
Ammocryptocharax elegans ,Weitzman & Kanazawa 1976
Anablepsoides sp. ,None
Anadoras grypus,(Cope 1872)
Anchoviella sp.,None
Ancistrus sp. ,None
Ancistrus sp. 1,None
Ancistrus sp. 2,None
Ancistrus sp. 3,None
Anodus elongatus,Agassiz 1829
Aphanotorulus emarginatus ,(Valenciennes 1840)
Aphanotorulus horridus ,(Kner 1854)
Aphyocharax pusillus,Günther 1868
Apionichthys cf. nattereri,(Steindachner 1876)
Apionichthys sp. ,None
Apistogramma eunotus ,"Kullander, 1981"
Apistogramma sp. ,None
Apteronotus albifrons ,(Linnaeus 1766)
Arapaima gigas,(Schinz 1822)
Astronotus ocellatus,(Agassiz 1831)
Astyanax abramis,(Jenyns 1842)
Astyanax multidens ,(Pearson 1924)
Astyanax sp. ,None
Auchenipterichthys coracoideus,(Eigenmann & Allen 1942)
Auchenipterus nuchalis,Spix & Agassiz 1829
Auchenipterus sp. 1,None
Auchenipterus sp. 2,None
Batrochoglanis raninus,(Valenciennes 1840)
Biotodoma cupido,(Heckel 1840)
Boulengerella cuvieri,(Spix & Agassiz 1829)
Boulengerella maculata,(Valenciennes 1850)
Brachychalcinus nummus,Böhlke 1958
Brachyhypopomus sp.,None
Brachyhypopomus sp. ,None
Brachyplatystoma rousseauxii,(Castelnau 1855)
Brycon amazonicus ,(Agassiz 1829)
Brycon melanopterus,(Cope 1872)
Bryconops caudomaculatus,(Günther 1864)
Bryconops inpai ,"Knöppel, Junk & Géry 1968"
Bryconops melanurus,(Bloch 1794)
Bryconops sp. ,None
Bujurquina huallagae,kullander 1986
Bujurquina moriorum,Kullander 1986
Bujurquina ortegai,Kullander 1986
Bujurquina pardus,"Arbour, Barriga Salazar & López-Fernández 2014"
Bujurquina peregrinabunda ,Kullander 1986
Bujurquina robusta,Kullander 1986
Bujurquina syspilus,(Cope 1872)
Bunocephalus coracoideus,(Cope 1874)
Bunocephalus verrucosus ,(Walbaum 1792)
Callichthys callichthys,(Linneo 1758)
Callophysus macropterus ,(Lichtenstein 1819)
Carnegiella sp. ,None
Carnegiella strigata,(Günther 1864)
Centromochlus heckelii,(De Filippi 1853)
Cetopsis candiru ,Spix & Agassiz 1829
Cetopsis coecutiens ,(Lichtenstein 1819)
Cetopsis sp. ,None
Chaetobranchus flavescens,Heckel 1840
Chaetobranchus semifasciatus,Steindachner 1875
Chaetostoma sp. ,None
Chalceus erythrurus,(Cope 1870)
Chalceus macrolepidotus,Cuvier 1816
Chalceus sp. ,None
Characidae sp. ,None
