familia,genero,nombre_cientifico,especie
Potamotrygonidae,Potamotrygon,Potamotrygon motoro,motoro
Potamotrygonidae,Potamotrygon,Potamotrygon motoro,motoro
Potamotrygonidae,Potamotrygon,Potamotrygon motoro,motoro
Potamotrygonidae,Potamotrygon,Potamotrygon motoro,motoro
Potamotrygonidae,Paratrygon,Paratrygon aiereba,aiereba
Potamotrygonidae,Potamotrygon,Potamotrygon tigrina,tigrina
Potamotrygonidae,Potamotrygon,Potamotrygon motoro,motoro
Potamotrygonidae,Potamotrygon,Potamotrygon motoro,motoro
Lepidosirenidae,Lepidosiren,Lepidosiren paradoxa,paradoxa
Osteoglossidae,Osteoglossum,Osteoglossum bicirrhosum,bicirrhosum
Osteoglossidae,Osteoglossum,Osteoglossum bicirrhosum,bicirrhosum
Arapaimidae,Arapaima,Arapaima gigas,gigas
Arapaimidae,Arapaima,Arapaima gigas,gigas
Engraulididae,Anchoviella,Anchoviella sp.,sp.
Engraulididae,Lycengraulis,Lycengraulis batesii,batesii
Pristigasteridae,Pellona,Pellona flavipinnis,flavipinnis
Pristigasteridae,Pellona,Pellona flavipinnis,flavipinnis
Pristigasteridae,Pellona,Pellona flavipinnis,flavipinnis
Pristigasteridae,Pristigaster,Pristigaster cayana,cayana
Pristigasteridae,Pristigaster,Pristigaster cayana,cayana
Hemiodontidae,Hemiodus,Hemiodus microlepis,microlepis
Hemiodontidae,Hemiodus,Hemiodus microlepis,microlepis
Hemiodontidae,Hemiodus,Hemiodus microlepis,microlepis
Hemiodontidae,Anodus,Anodus elongatus,elongatus
Hemiodontidae,Anodus,Anodus elongatus,elongatus
Hemiodontidae,Hemiodus,Hemiodus unimaculatus,unimaculatus 
Parodontidae,Parodon,Parodon buckleyi,buckleyi
Curimatidae,Curimata,Curimata vittata,vittata
Curimatidae,Steindachnerina,Steindachnerina guentheri,guentheri
Curimatidae,Curimata,Curimata vittata,vittata
Curimatidae,Curimatella,Curimatella alburnus,alburnus
Curimatidae,Curimatella,Curimatella alburnus,alburnus
Curimatidae,Curimatella,Curimatella alburnus,alburnus
Curimatidae,Curimata,Curimata roseni,roseni
Curimatidae,Potamorhina ,Potamorhina altamazonica,altamazonica
Curimatidae,Potamorhina ,Potamorhina pristigaster,pristigaster
Curimatidae,Cyphocharax,Cyphocharax pantostictos,pantostictos
Curimatidae,Cyphocharax,Cyphocharax spiluropsis,spiluropsis
Curimatidae,Steindachnerina,Steindachnerina leucisca,leucisca
Curimatidae,Curimata,Curimata cisandina,cisandina
Curimatidae,Cyphocharax,Cyphocharax festivus,festivus
Curimatidae,Potamorhina ,Potamorhina pristigaster,pristigaster
Curimatidae,Psectrogaster,Psectrogaster rutiloides,rutiloides
Curimatidae,Potamorhina ,Potamorhina altamazonica,altamazonica
Curimatidae,curimata,Curimata aspera,aspera
Curimatidae,Psectrogaster,Psectrogaster essequibensis,essequibensis
Curimatidae,Psectrogaster,Psectrogaster essequibensis,essequibensis
Curimatidae,Psectrogaster,Psectrogaster amazonica,amazonica
Curimatidae,Psectrogaster,Psectrogaster amazonica,amazonica
Curimatidae,Cyphocharax,Cyphocharax festivus,festivus
Curimatidae,Curimata,Curimata knerii,knerii
Curimatidae,Curimatella,Curimatella alburnus,alburnus
Curimatidae,Psectrogaster,Psectrogaster amazonica,amazonica
Curimatidae,Psectrogaster,Psectrogaster essequibensis,essequibensis
Curimatidae,Curimatella,Curimatella meyeri,meyeri
Curimatidae,Curimatella,Curimatella meyeri,meyeri
Curimatidae,Potamorhina ,Potamorhina latior,latior
Curimatidae,Curimatella,Curimatella alburnus,alburnus
Curimatidae,Curimatella,Curimatella meyeri,meyeri
Curimatidae,curimata,Curimata aspera,aspera
Curimatidae,Curimatopsis,Curimata cisandina,macrolepis
Curimatidae,Cyphocharax,Cyphocharax spiluropsis,spiluropsis
Curimatidae,Curimata,Curimata knerii,kneri
Curimatidae,Psectrogaster,Psectrogaster essequibensis,essequibensis
Curimatidae,Cyphocharax,Cyphocharax festivus,festivus
Curimatidae,Curimata,Curimata vittata,vittata
Curimatidae,Curimatella,Curimatella meyeri,meyeri
Curimatidae,Curimatella,Curimatella meyeri,meyeri
Curimatidae,Curimatella,Curimatella alburnus,alburnus
Curimatidae,Steindachnerina,Steindachnerina planiventris,planiventris
Curimatidae,Psectrogaster,Psectrogaster amazonica,amazonica
Curimatidae,Curimata,Curimata knerii,knerii
Curimatidae,Psectrogaster,Psectrogaster amazonica,amazonica
Curimatidae,Psectrogaster,Psectrogaster amazonica,amazonica
Curimatidae,Psectrogaster,Psectrogaster amazonica,amazonica
Curimatidae,Steindachnerina,Steindachnerina bimaculata,bimaculata
Curimatidae,Psectrogaster,Psectrogaster amazonica,amazonica
Curimatidae,Curimatella,Curimatella alburnus,alburnus
Curimatidae,Potamorhina ,Potamorhina altamazonica,altamazonica
Curimatidae,Cyphocharax,Cyphocharax spiluropsis,spiluropsis
Curimatidae,curimata,Curimata cisandina,cisandina
Curimatidae,Psectrogaster,Psectrogaster rutiloides,rutiloides
Curimatidae,Curimatella,Curimatella meyeri,meyeri
Curimatidae,Psectrogaster,Psectrogaster amazonica,amazonica
Curimatidae,Curimatella,Curimatella meyeri,meyeri
Curimatidae,Steindachnerina,Steindachnerina quasimodoi,quasimodoi
Curimatidae,curimata,Curimata vittata,vittata
Curimatidae,Steindachnerina,Steindachnerina planiventris,planiventris
Curimatidae,Steindachnerina,Steindachnerina planiventris,planiventris
