familia,genero,nombre_cientifico,especie,genero_id
doradidae,acanthodoras,acanthodoras spinosissimus,spinosissimus,1.0
cichlidae,acaricichthys,acarichthys heckelii,heckelii,2.0
cichlidae,acaronia,acaronia nassa,nassa,3.0
acestrorhynchidae,acestrorhynchus,acestrorhynchus falcatus,falcatus,4.0
acestrorhynchidae,acestrorhynchus,acestrorhynchus falcirostris,falcirostris,4.0
acestrorhynchidae,acestrorhynchus,acestrorhynchus heterolepis,heterolepis,4.0
acestrorhynchidae,acestrorhynchus,acestrorhynchus lacustris,lacustris,4.0
acestrorhynchidae,acestrorhynchus,acestrorhynchus microlepis,microlepis,4.0
acestrorhynchidae,acestrorhynchus,acestrorhynchus sp.,sp.,4.0
cichlidae,aequidens,aequidens diadema,diadema,5.0
cichlidae,aequidens,aequidens tetramerus,tetramerus,5.0
auchenipteridae,ageneiosus,ageneiosus inermis,inermis,6.0
auchenipteridae,ageneiosus,ageneiosus uranophthalmus,uranopohthalmus,6.0
auchenipteridae,ageneiosus,ageneiosus vittatus,dunni,6.0
aspredinidae,amaralia,amaralia hypsiura,hypsiura,7.0
doradidae,amblydoras,amblydoras affinis,affinis,8.0
doradidae,amblydoras,amblydoras hancockii,hancockii,8.0
crenuchidae,ammocryptocharax,ammocryptocharax elegans,elegans,9.0
rivulidae,anablepsoides,anablepsoides sp.,sp.,10.0
doradidae,anadoras,anadoras grypus,grypus,11.0
engraulididae,anchoviella,anchoviella sp.,sp.,12.0
loricariidae,ancistrus,ancistrus sp.,sp.,13.0
loricariidae,ancistrus,ancistrus sp. 1,sp. 1,13.0
loricariidae,ancistrus,ancistrus sp. 2,sp. 2,13.0
loricariidae,ancistrus,ancistrus sp. 3,sp. 3,13.0
hemiodontidae,anodus,anodus elongatus,elongatus,14.0
loricariidae,aphanotorulus,aphanotorulus emarginatus,emarginatus,15.0
loricariidae,aphanotorulus,aphanotorulus horridus,horridus,15.0
characidae,aphyocharax,aphyocharax pusillus,pusillus,16.0
achiridae,apionichthys,apionichthys cf. nattereri,cf. nattereri,17.0
achiridae,apionichthys,apionichthys sp.,sp.,17.0
cichlidae,apistogramma,apistogramma eunotus,eunotus,18.0
cichlidae,apistogramma,apistogramma sp.,sp.,18.0
apteronotidae,apteronotus,apteronotus albifrons,albifroms,19.0
arapaimidae,arapaima,arapaima gigas,gigas,20.0
cichlidae,astronotus,astronotus ocellatus,ocellatus,21.0
characidae,astyanax,astyanax abramis,abramis,22.0
characidae,astyanax,astyanax multidens,multidens,22.0
characidae,astyanax,astyanax sp.,sp.,22.0
auchenipteridae,auchenipterichthys,auchenipterichthys coracoideus,coracoideus,23.0
auchenipteridae,auchenipterus,auchenipterus nuchalis,nuchalis,24.0
auchenipteridae,auchenipterus,auchenipterus sp. 1,sp. 1,24.0
auchenipteridae,auchenipterus,auchenipterus sp. 2,sp. 2,24.0
pseudopimelodidae,batrochoglanis,batrochoglanis raninus,raninus,25.0
cichlidae,biotodoma,biotodoma cupido,cupido,26.0
ctenoluciidae,boulengerella,boulengerella cuvieri,cuvieri,27.0
ctenoluciidae,boulengerella,boulengerella maculata,maculata,27.0
characidae,brachychalcinus,brachychalcinus nummus,nummus,28.0
hypopomidae,brachyhypopomus,brachyhypopomus sp.,sp.,29.0
pimelodidae,brachyplatystoma,brachyplatystoma rousseauxii,rousseauxii,30.0
bryconidae,brycon,brycon amazonicus,amazonicus,32.0
characidae,brycon,brycon melanopterus,melanopterus,31.0
iguanodectidae,bryconops,bryconops caudomaculatus,caudomaculatus,34.0
characidae,bryconops,bryconops inpai,inpai,33.0
iguanodectidae,bryconops,bryconops melanurus,melanurus,34.0
