nombre_cientifico,autor_nombre_cientifico
Potamotrygon motoro,(Muller & Henle 1841)
Potamotrygon motoro,(Muller & Henle 1841)
Potamotrygon motoro,(Muller & Henle 1841)
Potamotrygon motoro,(Muller & Henle 1841)
Paratrygon aiereba,(Muller & Henle 1841)
Potamotrygon tigrina,"Carvalho, Sabaj & Lovejoy 2011"
Potamotrygon motoro,(Muller & Henle 1841)
Potamotrygon motoro,(Muller & Henle 1841)
Lepidosiren paradoxa,Fitzinger 1837
Osteoglossum bicirrhosum,(Cuvier 1829)
Osteoglossum bicirrhosum,(Cuvier 1829)
Arapaima gigas,(Schinz 1822)
Arapaima gigas,(Schinz 1822)
Anchoviella sp.,
Lycengraulis batesii,(Günther 1868)
Pellona flavipinnis,(Valenciennes 1836)
Pellona flavipinnis,(Valenciennes 1836)
Pellona flavipinnis,(Valenciennes 1836)
Pristigaster cayana,Cuvier 1829
Pristigaster cayana,Cuvier 1829
Hemiodus microlepis,Kner 1858
Hemiodus microlepis,Kner 1858
Hemiodus microlepis,Kner 1858
Anodus elongatus,Agassiz 1829
Anodus elongatus,Agassiz 1829
Hemiodus unimaculatus,(Bloch 1794)
Parodon buckleyi,Boulenger 1887
Curimata vittata,(Kner 1858)
Steindachnerina guentheri,(Eigenmann & Eigenmann 1889)
Curimata vittata,"(Kner, 1858)"
Curimatella alburnus,(Müller & Troschel 1844)
Curimatella alburnus,(Müller & Troschel 1844)
Curimatella alburnus,(Müller & Troschel 1844)
Curimata roseni,Vari 1989
Potamorhina altamazonica,(Cope 1878)
Potamorhina pristigaster,(Steindachner 1876)
Cyphocharax pantostictos,Vari & Barriga Salazar 1990
Cyphocharax spiluropsis,(Eigenmann & Eigenmann 1889)
Steindachnerina leucisca,(Günther 1868)
Curimata cisandina,(Allen 1942)
Cyphocharax festivus,Vari 1992
Potamorhina pristigaster,(Steindachner 1876)
Psectrogaster rutiloides,(Kner 1858)
Potamorhina altamazonica,(Cope 1878)
Curimata aspera,(Günther 1868)
Psectrogaster essequibensis,(Günther 1864)
Psectrogaster essequibensis,(Günther 1864)
Psectrogaster amazonica,Eigenmann & Eigenmann 1889
Psectrogaster amazonica,Eigenmann & Eigenmann 1889
Cyphocharax festivus,Vari 1992
Curimata knerii,(Steindachner 1876)
Curimatella alburnus,(Müller & Troschel 1844)
Psectrogaster amazonica,Eigenmann & Eigenmann 1889
Psectrogaster essequibensis,(Günther 1864)
Curimatella meyeri,(Steindachner 1882)
Curimatella meyeri,(Steindachner 1882)
Potamorhina latior,(Spix & Agassiz 1829)
Curimatella alburnus,(Müller & Troschel 1844)
Curimatella meyeri,(Steindachner 1882)
Curimata aspera,(Günther 1868)
Curimata cisandina,(Allen 1942)
Cyphocharax spiluropsis,(Eigenmann & Eigenmann 1889)
Curimata knerii,(Steindachner 1876)
Psectrogaster essequibensis,(Günther 1864)
Cyphocharax festivus,Vari 1992
Curimata vittata,(Kner 1858)
Curimatella meyeri,(Steindachner 1882)
Curimatella meyeri,(Steindachner 1882)
Curimatella alburnus,(Müller & Troschel 1844)
Steindachnerina planiventris,Vari &Vari 1989
Psectrogaster amazonica,Eigenmann & Eigenmann 1889
Curimata knerii,(Steindachner 1876)
Psectrogaster amazonica,Eigenmann & Eigenmann 1889
Psectrogaster amazonica,Eigenmann & Eigenmann 1889
Psectrogaster amazonica,Eigenmann & Eigenmann 1889
Steindachnerina bimaculata,(Steindachner 1876)
Psectrogaster amazonica,Eigenmann & Eigenmann 1889
Curimatella alburnus,(Müller & Troschel 1844)
Potamorhina altamazonica,(Cope 1878)
Cyphocharax spiluropsis,(Eigenmann & Eigenmann 1889)
Curimata cisandina,(Allen 1942)
Psectrogaster rutiloides,(Kner 1858)
Curimatella meyeri,(Steindachner 1882)
Psectrogaster amazonica,Eigenmann & Eigenmann 1889
Curimatella meyeri,(Steindachner 1882)
Steindachnerina quasimodoi,Vari & Vari 1989
Curimata vittata,(Kner 1858)
Steindachnerina planiventris,Vari & Vari 1989
Steindachnerina planiventris,Vari & Vari 1989
Curimata roseni,Vari 1989
Curimata cisandina,(Allen 1942)
Curimatopsis macrolepis,(Steindachner 1876)
Curimatella dorsalis,(Eigenmann & Eigenmann 1889)
Steindachnerina dobula,(Günther 1868)
Steindachnerina bimaculata,(Steindachner 1876)
Steindachnerina guentheri,(Eigenmann & Eigenmann 1889)
