familia,genero,nombre_cientifico,especie,genero_id,autor_nombre_cientifico
doradidae,acanthodoras,acanthodoras spinosissimus,spinosissimus,1.0,Eigenmann & Eigenmann 1888
cichlidae,acaricichthys,acarichthys heckelii,heckelii,2.0,Müller & Troschel 1849
cichlidae,acaronia,acaronia nassa,nassa,3.0,Heckel 1840
acestrorhynchidae,acestrorhynchus,acestrorhynchus falcatus,falcatus,4.0,Bloch 1794
acestrorhynchidae,acestrorhynchus,acestrorhynchus falcirostris,falcirostris,4.0,Cuvier 1819
acestrorhynchidae,acestrorhynchus,acestrorhynchus heterolepis,heterolepis,4.0,Cope 1878
acestrorhynchidae,acestrorhynchus,acestrorhynchus lacustris,lacustris,4.0,Lütken 1875
acestrorhynchidae,acestrorhynchus,acestrorhynchus microlepis,microlepis,4.0,Schomburgk 1841
acestrorhynchidae,acestrorhynchus,acestrorhynchus sp.,sp.,4.0,No author
cichlidae,aequidens,aequidens diadema,diadema,5.0,Heckel 1840
cichlidae,aequidens,aequidens tetramerus,tetramerus,5.0,Heckel 1840
auchenipteridae,ageneiosus,ageneiosus inermis,inermis,6.0,Linnaeus 1766
auchenipteridae,ageneiosus,ageneiosus uranophthalmus,uranopohthalmus,6.0,Ribeiro y Rapp Py-Daniel 2010
auchenipteridae,ageneiosus,ageneiosus vittatus,dunni,6.0,Steindachner 1908
aspredinidae,amaralia,amaralia hypsiura,hypsiura,7.0,Kner 1855
doradidae,amblydoras,amblydoras affinis,affinis,8.0,Kner 1855
doradidae,amblydoras,amblydoras hancockii,hancockii,8.0,Valenciennes 1840
crenuchidae,ammocryptocharax,ammocryptocharax elegans,elegans,9.0,Weitzman & Kanazawa 1976
rivulidae,anablepsoides,anablepsoides sp.,sp.,10.0,No author
doradidae,anadoras,anadoras grypus,grypus,11.0,Cope 1872
engraulididae,anchoviella,anchoviella sp.,sp.,12.0,No author
loricariidae,ancistrus,ancistrus sp.,sp.,13.0,No author
loricariidae,ancistrus,ancistrus sp. 1,sp. 1,13.0,No author
loricariidae,ancistrus,ancistrus sp. 2,sp. 2,13.0,No author
loricariidae,ancistrus,ancistrus sp. 3,sp. 3,13.0,No author
hemiodontidae,anodus,anodus elongatus,elongatus,14.0,Agassiz 1829
loricariidae,aphanotorulus,aphanotorulus emarginatus,emarginatus,15.0,Valenciennes 1840
loricariidae,aphanotorulus,aphanotorulus horridus,horridus,15.0,Kner 1854
characidae,aphyocharax,aphyocharax pusillus,pusillus,16.0,Günther 1868
achiridae,apionichthys,apionichthys cf. nattereri,cf. nattereri,17.0,Steindachner 1876
achiridae,apionichthys,apionichthys sp.,sp.,17.0,No author
cichlidae,apistogramma,apistogramma eunotus,eunotus,18.0,"Kullander, 1981"
cichlidae,apistogramma,apistogramma sp.,sp.,18.0,No author
apteronotidae,apteronotus,apteronotus albifrons,albifroms,19.0,Linnaeus 1766
arapaimidae,arapaima,arapaima gigas,gigas,20.0,Schinz 1822
cichlidae,astronotus,astronotus ocellatus,ocellatus,21.0,Agassiz 1831
characidae,astyanax,astyanax abramis,abramis,22.0,Jenyns 1842
characidae,astyanax,astyanax multidens,multidens,22.0,Pearson 1924
characidae,astyanax,astyanax sp.,sp.,22.0,No author
auchenipteridae,auchenipterichthys,auchenipterichthys coracoideus,coracoideus,23.0,Eigenmann & Allen 1942
auchenipteridae,auchenipterus,auchenipterus nuchalis,nuchalis,24.0,Spix & Agassiz 1829
auchenipteridae,auchenipterus,auchenipterus sp. 1,sp. 1,24.0,No author
auchenipteridae,auchenipterus,auchenipterus sp. 2,sp. 2,24.0,No author
pseudopimelodidae,batrochoglanis,batrochoglanis raninus,raninus,25.0,Valenciennes 1840
cichlidae,biotodoma,biotodoma cupido,cupido,26.0,Heckel 1840
ctenoluciidae,boulengerella,boulengerella cuvieri,cuvieri,27.0,Spix & Agassiz 1829
ctenoluciidae,boulengerella,boulengerella maculata,maculata,27.0,Valenciennes 1850
characidae,brachychalcinus,brachychalcinus nummus,nummus,28.0,Böhlke 1958
hypopomidae,brachyhypopomus,brachyhypopomus sp.,sp.,29.0,No author
pimelodidae,brachyplatystoma,brachyplatystoma rousseauxii,rousseauxii,30.0,Castelnau 1855
bryconidae,brycon,brycon amazonicus,amazonicus,32.0,Agassiz 1829
characidae,brycon,brycon melanopterus,melanopterus,31.0,Cope 1872
iguanodectidae,bryconops,bryconops caudomaculatus,caudomaculatus,34.0,Günther 1864
characidae,bryconops,bryconops inpai,inpai,33.0,"Knöppel, Junk & Géry 1968"
iguanodectidae,bryconops,bryconops melanurus,melanurus,34.0,Bloch 1794
iguanodectidae,bryconops,bryconops sp.,sp.,34.0,No author
cichlidae,bujurquina,bujurquina huallagae,huallagae,35.0,kullander 1986
cichlidae,bujurquina,bujurquina moriorum,moriorum,35.0,Kullander 1986
cichlidae,bujurquina,bujurquina ortegai,ortegai,35.0,Kullander 1986
cichlidae,bujurquina,bujurquina pardus,pardus,35.0,"Arbour, Barriga Salazar & López-Fernández 2014"
cichlidae,bujurquina,bujurquina peregrinabunda,peregrinabunda,35.0,Kullander 1986
cichlidae,bujurquina,bujurquina robusta,robusta,35.0,Kullander 1986
cichlidae,bujurquina,bujurquina syspilus,syspilus,35.0,Cope 1872
aspredinidae,bunocephalus,bunocephalus coracoideus,caracoideus,36.0,Cope 1874
aspredinidae,bunocephalus,bunocephalus verrucosus,verrucosus,36.0,Walbaum 1792
callichthyidae,callichthys,callichthys callichthys,callichthys,37.0,Linneo 1758
pimelodidae,callophysus,callophysus macropterus,macropterus,38.0,Lichtenstein 1819
gasteropelecidae,carnegiella,carnegiella sp.,sp.,39.0,No author
gasteropelecidae,carnegiella,carnegiella strigata,strigata,39.0,Günther 1864
auchenipteridae,centromochlus,centromochlus heckelii,heckelii,40.0,De Filippi 1853
cetopsidae,cetopsis,cetopsis candiru,candiru,41.0,Spix & Agassiz 1829
cetopsidae,cetopsis,cetopsis coecutiens,coecutiens,41.0,Lichtenstein 1819
cetopsidae,cetopsis,cetopsis sp.,sp.,41.0,No author
cichlidae,chaetobranchus,chaetobranchus flavescens,flavescens,42.0,Heckel 1840
cichlidae,chaetobranchus,chaetobranchus semifasciatus,semifasciatus,42.0,Steindachner 1875
loricariidae,chaetostoma,chaetostoma sp.,sp.,43.0,No author
characidae,chalceus,chalceus erythrurus,erythrurus,45.0,Cope 1870
characidae,chalceus,chalceus macrolepidotus,macrolepidotus,45.0,Cuvier 1816
chalceidae,chalceus,chalceus sp.,sp.,44.0,No author
None,None,characidae sp.,None,,No author
crenuchidae,characidium,characidium etheostoma,etheostoma,46.0,Cope 1872
crenuchidae,characidium,characidium pellucidum,pellucidum,46.0,Eigenmann 1909
crenuchidae,characidium,characidium pteroides,pteroides,46.0,Eigenmann 1909
crenuchidae,characidium,characidium sp.,sp.,46.0,No author
crenuchidae,characidium,characidium steindachneri,steindachneri,46.0,Cope 1878
characidae,charax,charax caudimaculatus,caudimaculatus,47.0,Lucena 1987
characidae,charax,charax gibbosus,gibbosus,47.0,Linnaeus 1758
characidae,charax,charax sp.,sp.,47.0,No author
characidae,charax,charax tectifer,tectifer,47.0,Cope 1870
chilodontidae,chilodus,chilodus punctatus,punctatus,48.0,Müller & Troschel 1844
anostomidae,chilodus,chilodus punctatus,punctatus,49.0,Müller & Troschel 1844
characidae,chrysobrycon,chrysobrycon cf. hesperus,cf. hesperus,50.0,Böhlke 1958
